Wfo,Conservation
wfo-0001029151,Data deficient (DD). 
wfo-0001429778,"According to IUCN criteria (2011), Solanum knappiae is ‘Vulnerable’ (VU) based on the B2 criteria (area of occupancy less than 500 km2), ‘a’ (number of places of occurrence ? 10) and ‘b [ii, iii, iv]’ (showing declines in its area of occupation, habitat quality, and numbers of sites). This species is sensitive to environmental disturbances, but two of the areas where it occurs are protected conservation areas."
wfo-0001030385,"Least Concern [LC]. EOO = 605,225 km2 [LC]; AOO = 312 km2 [EN]. Solanum physalidicalyx is not as common as the very similar S. tweedieanum, but it has a similarly wide distribution and is a plant of disturbed areas. It appears not to have been collected within protected areas in Argentina."
wfo-0001031052,"Least Concern [LC]. EOO = 2,194,057 km2 [LC]; AOO = 128 km2 [EN]; calculated on South American range only. Solanum sarrachoides is widespread in the Paraná Basin and is a weedy somewhat ephemeral species in a wide variety of habitats; it is introduced elsewhere as an agricultural weed."
wfo-0001030987,"Least Concern [LC]. EOO = 79,244 km2 [LC]; AOO = 84 km2 [EN]. Solanum salamancae occurs all along the Andean slope in northern Argentina and is a weedy species, but because it grows in a narrow, transitional habitat, future studies might reveal habitat specialisation. Many recent collections are from areas around active mining operations (e.g., Tolaba & Gutiérrez 4240) and so these populations may be at risk."
wfo-0001019990,Capsicum annuum var. annuum is not under threat.
wfo-0001030389,"Least Concern [LC]. EOO = 757,522 km2 [LC]; AOO = 172 km2 [EN]. Solanum physalifolium is a plant of open disturbed areas and has a wide distribution along the Andes. It occurs in protected areas in Argentina (e.g., Parque Nacional Baritú) and Peru (around the ruins of Sacsayhuamán near Cusco)."
wfo-0001026988,"Least Concern [LC]. Worldwide distribution: EOO = 95,008,211 km2 [LC]; AOO = 1,560 km2 [LC]. Solanum chenopodioides is a widespread weed of disturbed areas (see Barboza et al. 2013; Särkinen et al. 2018; Knapp et al. 2019) and is widely introduced outside of and very common within its native range.
"
wfo-0001027811,Least Concern (LC). Solanum emulans is common and weedy in the eastern United States and Canada. 
wfo-0001028687,Least Concern (LC). Solanum interius is widespread through the Great Plains region in the United States of America.
wfo-0001031072,"Preliminary conservation status (IUCN 2016). Solanum scabrum is widespread across Africa and an important leafy vegetable in cultivation; it can be assigned a preliminary status of LC (Least Concern), but it may become important to conserve local populations in order to preserve genetic variation for plant breeding.
"
wfo-0001025855,"Preliminary conservation status (IUCN 2016). Solanum alpinum, although found over a relatively large geographical area, is never common, and is known from a small number of collections. With a relatively small AOO of 64 km2 (EN) and EOO of 18,806 km2 (VU), and in view of the scattered populations at isolated high elevations, we assign the species a preliminary conservation status of VU (Vulnerable). Forests on these mountains are under threat from land conversion and fire associated with human use (van Steenis 2006).
"
wfo-0001029815,"Preliminary conservation status (IUCN 2016). Solanum nigrum is a widely distributed amphitropical species across temperate and subtropical areas in the Old World; it can be assigned a status of LC (Least Concern).
"
