Wfo,Cytology
wfo-0001028905,n = ploidy missing = 46; voucher: missing (Baylis 1954)
wfo-0001026849,n = ploidy missing = 23; voucher: Anon. 31610 (ADW) (Baylis 1963; Symon 1994)
wfo-0001029151,n = ploidy missing = 12; voucher: Symon 5216 (ADW) (Randell & Symon 1976)
wfo-0001029091,n = ploidy missing = 23; voucher: missing (Gerasimenko 1965)
wfo-0001030385,Chromosome number: not known.
wfo-0001031052,"2n = 2x = 24; voucher: missing (Edmonds 1972, 1977; Bukenya 1996; Moyetta et al. 2013; Olet et al. 2015)
"
wfo-0001030987,Chromosome number: not known.
wfo-0001019990,"2n = 2x = 24 (Pickersgill 1971, 1977, 1991; Moscone et al. 2007)."
wfo-0001030389,Chromosome number: not known.
wfo-0001026988,"2n = 2x = 24; voucher: missing (Baylis 1958; Soria and Heiser 1961 [as S. gracile]; Heiser et al. 1965 [as S. gracile]; Venkateswarlu and Rao 1972; Henderson 1974 [as S. gracilius]; Randell and Symon 1976; Edmonds 1972, 1977, 1982, 1983; 1984a [as S. sublobatum]; Moscone 1992; Jacoby and Labuschagne 2006; Moyetta et al. 2013)
"
wfo-0001027811,"Chromosome number: 2n=2x=24 (Stebbins and Paddock 1949, as S. americanum; Mulligan 1961, as S. americanum; Soria and Heiser 1961, as S. americanum; Heiser et al. 1965, as S. americanum; Edmonds 1983, as S. americanum; Crompton and Bassett 1976, as S. americanum)."
wfo-0001028687,Chromosome number: 2n=2×=24 (Heiser et al. 1965).
wfo-0001031072,"2n = 6x = 72; voucher: missing (Soria and Heiser 1961 [as S. melanocerasum]; Heiser et al. 1965 [as S. melanocerasum]; Henderson 1974; Edmonds 1977, 1983; Symon 1981; Jacoby and Labuschagne 2006; Bukenya 1996; Olet et al. 2015)
"
wfo-0001025855,"Chromosome number not known.
"
wfo-0001029815,"2n = 6x = 72; voucher: missing (Jørgensen 1928; Tokunaga 1933; Ellison 1936; Nakamura 1937; Stebbins and Paddock 1949; Baylis 1958; Venkateswarlu and Rao 1972 [as S. nigrum S8, S11, S19]; Heiser et al. 1965; Henderson 1974; Tandon 1974; Randell and Symon 1976; Edmonds 1977, 1981, 1982, 1983, 1984a; Ganapathi and Rao 1986a; Symon 1981; Bukenya 1996)
"
wfo-0001030626,"2n = 4x = 48; voucher: missing (Morton 1993)
"
wfo-0001029498,"2n = 6x = 72; voucher: missing (Bhiravamurty and Rethy 1983; Olet et al. 2015)
"
wfo-0001030090,"2n = 6x = 72; voucher: missing (Henderson 1974; Symon 1985)
"
wfo-0001028050,"Chromosome number: 2n = 72 (Stebbins and Paddock 1949, from Californian plants no voucher cited; Edmonds 1977, voucher from Chile Hjerting & Rahn 552, not found or verified).
"
wfo-0001029932,"2n = 2x = 24; voucher: missing (Ellison 1936; Henderson 1974; Edmonds 1977, 1981, 1982, 1983, 1984a, 1986; Randell and Symon 1976; Symon 1981; Olet et al. 2015)
"
wfo-0001030827,"2n = 4x = 48; voucher: missing (Henderson 1974; Randell and Symon 1976; Edmonds 1977, 1983; Symon 1981; Jacoby and Labuschagne 2006)
"
wfo-0001032383,"2n = 4x = 48; voucher: missing (Jørgenson 1928; Tokunaga 1933; Stebbins and Paddock 1949; Soria and Heiser 1961 [as S. roxburghii and S. villosum]; Heiser et al. 1965 [as S. roxburghii]; Gerasimenko and Reznikova 1968; Venkateswarlu and Rao 1972; Henderson 1974; Tandon 1974; Randell and Symon 1976; Edmonds 1977, 1982, 1983, 1984a; Ganapathi and Rao 1986a; Bukenya 1996; Ojiewo et al. 2006; Olet et al. 2015)
"
wfo-0001031661,"2n = 4x = 48; voucher: missing (Olet et al. 2015; Manoko 2007)
"
wfo-0001025878,"2n = 2x = 24; voucher: missing (Tokunaga 1933 [as S. dillenii]; Nakamura 1937 [as S. photeinocarpum]; Stebbins and Paddock 1949 [as S. nodiflorum]; Heiser 1955 under S. nodiflorum; Baylis 1958 as S. nodiflorum; Soria and Heiser 1961 [as S. nodiflorum]; Heiser et al. 1965 [as S. nodiflorum]; Edmonds 1972, 1977, 1982, 1983, 1984a; Venkateswarlu and Rao 1972 [vouchers labelled as S. nigrum S14, S30, S31]; D'Arcy 1974a; Henderson 1974; Tandon 1974; Bhiravamurty 1975 [as S. nodiflorum]; Randell and Symon 1976; Symon 1981; Ganapathi and Rao 1986a; Symon 1985; Schilling and Andersen 1990; Bukenya 1996; Jacoby and Labuschagne 2006; Moyetta et al. 2013; Olet et al. 2015)
"
wfo-0001032187,"2n = 4x = 48; voucher: missing (Manoko et al. 2012)
"
wfo-0001028423,"Chromosome number not known.
"
wfo-0001031853,"2n = 2x = 24; voucher: missing (Moscone 1992; Moyetta et al. 2013)
"
wfo-0001030176,"2n = 2x = 24; voucher: missing (Moscone 1992; Moyetta et al. 2013)
"
wfo-0001030315,"Chromosome number: reported as 2n = 24 (Edmonds 1972, 1977, voucher Hawkes ‘B’, not verified)."
wfo-0001022223,"Chromosome number not known.
"
wfo-0001032576,"Chromosome number not known.
"
wfo-0001025782,"Chromosome number not known.
"
wfo-0001031155,Chromosome number not known.
wfo-1000023516,"Chromosome number not known.
"
wfo-0001027276,"Chromosome number not known.
"
wfo-0001029368,Chromosome number not known.
wfo-0001029215,n = ploidy missing = 12; voucher: missing (Correll 1962)
wfo-0001026220,"n = 12 (Löve 1979)
"
wfo-0001032176,"Chromosome number not known.
"
wfo-0001030768,Chromosome number: 2n = 24 (Chiarini et al. 2017; voucher Särkinen et al. 4008).
wfo-0001031300,"Chromosome number not known.
"
wfo-0001029662,"Chromosome number not known.
"
wfo-0001031839,n = ploidy missing = 12; voucher: missing (Löve 1979)
wfo-0001347008,Chromosome number: not known.
wfo-0001347009,Chromosome number: not known.
wfo-0001429804,Chromosome number not known.
wfo-0001029125,"Chromosome number not known.
"
wfo-0001030814,"2n = 2x = 24; voucher: missing (no reference)
"
wfo-0001022511,"Chromosome number not known.
"
wfo-0001031897,"Chromosome number not known.
"
wfo-0001022467,Chromosome number not known.
wfo-0001020201,"2n = 2x = 24 (Pickersgill 1977, 1991; Moscone et al. 1993, 1995, 1996a, 2007)."
wfo-0001029464,"2n = 2x = 24; voucher: missing (Daunay et al. 2001)
"
wfo-0001025760,"2n = 2x = 24; voucher: missing (fide Lester and Seck 2002)
"
wfo-0001028672,"n = 12 (fide R. Meyer, pers. comm.)
"
wfo-0001030509,"Chromosome number not known.
"
wfo-0001029310,"Chromosome number not known.
"
wfo-0001028963,"Chromosome number not known.
"
wfo-0001028558,"n = 12 (J. Prohens, pers. comm.)
"
wfo-0001027396,"2n = 2x = 24; voucher: missing (Omidiji 1979)
"
wfo-0001026406,"Chromosome number not known.
"
wfo-0001029072,"Chromosome number not known.
"
wfo-0001029370,"n = 12; voucher: Symon 4709 (ADW) (Randell & Symon 1976)
"
wfo-0001027117,"Chromosome number not known.
"
wfo-0001028131,"Chromosome number not known.
"
wfo-0001029263,"2n = 2x = 24; voucher: missing (Omidiji 1979)
"
wfo-0001030529,"Chromosome number: 2n = 24 (Chiarini et al. 2017, voucher Knapp et al. 10384)."
wfo-0001020106,n = 12 (Heiser and Smith 1958); 2n = 2x = 24 (Pickersgill 1977; Moscone et al. 2007).
wfo-0001030751,"2n = 2x = 24; voucher: missing (no reference)
"
wfo-0001026216,Chromosome number not known.
wfo-0001027265,"Chromosome number not known.
"
wfo-0001025749,"Chromosome number not known.
"
wfo-0001029246,"Chromosome number not known.
"
wfo-0001030447,"Chromosome number not known.
"
wfo-0001027742,n = ploidy missing = 12; voucher: Symon 5155 (ADW) (Randell & Symon 1976)
wfo-0001028317,"Chromosome number not known.
"
wfo-0001029727,"Chromosome number not known.
"
wfo-0001026788,"Chromosome number not known.
"
wfo-0001028014,"Chromosome number not known.
"
wfo-0001031101,"Chromosome number not known.
"
wfo-0001031756,"Chromosome number not known.
"
wfo-0001027847,"Chromosome number not known.
"
wfo-0001030125,"Chromosome number not known.
"
wfo-0001032523,"Chromosome number not known.
"
wfo-0001032594,"Chromosome number: n = 12 (Moyetta et al. 2013, voucher Barboza et al. 3569)."
wfo-0001030611,"2n = 2x = 24; voucher: missing (no reference)
"
wfo-0001031497,"2n = 2x = 24; voucher: missing (no reference)
"
wfo-0001031203,"2n = 2x = 24; voucher: missing (no reference)
"
wfo-0001026818,"2n = 2x = 24; voucher: missing (Whalen et al. 1981)
"
wfo-0001028971,"2n = 2x = 24; voucher: missing (no reference)
"
wfo-0001028475,Chromosome number: not known.
wfo-1000050013,"Chromosome number, n = 24 pairs."
wfo-0001028444,Chromosome number: n=ca. 24 (Chiarini et al. in press; Chiarini 505).
wfo-0001029657,Chromosome number: not known.
wfo-0001028489,"Chromosome number not known.
"
wfo-0001027050,"Chromosome number not known.
"
wfo-0001031791,"n = 12 (Symon 1985)
"
wfo-0001030285,"Chromosome number not known.
"
wfo-0001026905,"Chromosome number not known.
"
wfo-0001026342,"Chromosome number not known.
"
wfo-0001028896,Chromosome number not known.
