Wfo,Use
wfo-0001028905,Cultivated as an ornamental and for alkaloids.
wfo-0001031052,None recorded.
wfo-0001019990,"Capsicum annuum var. annuum is the economically most important member of the genus. The fruits are widely used in international cuisine in a broad spectrum of meals and preparations, because of their aroma, flavour, texture and level of pungency. Some cultivars have good acceptance as ornamental plants due to the colour of the leaves and the brightness of the colourful and usually erect fruits (e.g. Christmas peppers, Bolivian rainbow). There are few instances where medicinal uses have been recorded on herbarium labels, but the medical and nutritional importance, as well as the pharmacological properties and therapeutic effects of the active compounds, of C. annuum fruits have been extensively highlighted."
wfo-0001026988,"South Africa. leaves used as spinach (Edmonds and Chweya 1997); berries locally used for making jam (Viljoen 2011). Solanum chenopodioides is considered to be toxic for cattle due to the high solanidine content of unripe fruits (Marzocca 1994), but as fruits ripen the alkaloid content decreases and fruits are apparently eaten without effect (Gallo 1987). In Argentina, fruits of S. chenopodioides are eaten by children of the Araucarian peoples (Martínez Crovetto 1968) and the Vilela people use them as a purple dye (Martínez Crovetto 1965)."
wfo-0001027811,"Strausbaugh and Core (1979, as S. americanum) record the use of “ripe berries cooked and eaten in pies” in West Virginia. "
wfo-0001028687,"None recorded on herbarium labels; Heiser (1969; quoting Charles Bessey) quotes “a young man from Fort Dodge, Iowa spoke up and said that the people in his neighbourhood made them [berries of “S. nigrum”] into pies, preserves, etc. and ate freely of them.” Bessey (quoted in Heiser 1969) went on to say that later he found that in central and western Iowa nightshades were indeed eaten; it is possible these were the berries of S. interius."
wfo-0001031072,"Cultivated for edible leaves and fruits. Leaves used as greens (spinach) and cooked, sold in markets; berries used as ink; in Benin the powdered leaves are used to cure dysentery (Essou and Hermann 2006)."
wfo-0001025855,"No specific uses recorded, but labels (Afriastini 475) indicate young berries are edible but rather bitter."
wfo-0001029815,"Leaves used as vegetable in India, China, southeast Asia and in Europe (in local areas); thought to be poisonous by association with the deadly nightshade, Atropa belladonna (see Uses in introductory section). Berries sometimes used for jam (Viljoen 2011)"
wfo-0001029498,Cultivated for edible leaves and berries in eastern Africa.
wfo-0001030090,Leaves eaten as greens throughout the species range.
wfo-0001029932,"The fruit were used either ripe or in a decoction as a cure for diarrhoea by the Paiute people of Nevada (Train et al. 1941, as S. villosum); leaves and berries were soaked in water and applied to watermelon seeds to ensure a good crop by the Navajo (Moerman 1998, as S. physalifolium). Train et al. (1941) state that the Paiute people of Nevada “used a tea made from the berries when traveling in areas where the water was not potable”."
wfo-0001030827,Cultivated in some areas. Berries used raw and for jam (Viljoen 2011); leaves eaten as a pot-herb vegetable.
wfo-0001032383,"Cultivated for edible leaves and fruits. Leaves used as spinach (usually boiled, often in milk) and as a pot-herb in Europe, Africa and the Middle East; berries eaten raw (especially by children, see Uses above) and cooked (Pojarkova 1955a, b). Medicinal uses include treatment of eye conditions and swellings (see Yang and Ojweibo 2013)."
wfo-0001031661,"Cultivated for edible leaves. Leaves eaten as a vegetable throughout the range; also used as a medicinal plant (in Karamoja Distr., Uganda)."
