Wfo,Vercular
wfo-0001031052,"Bolivia. Santa Cruz: huiraquillomi (Guaraní, Michel et al. 2769). South Africa: umrobe wezinja; Sweden: Klibbnattskatta (Mossberg et al. 2003); United Kingdom: leafy-fruited nightshade (Stace 2010). Canada and United States of America. Hairy nightshade (many sources, but unclear if individual accounts are referring to S. sarrachoides or S. nitidibaccatum). 
"
wfo-0001019990,"Common names: Argentina: Ají balita (Jujuy, Moscone 204), Pimiento (Corrientes, Anzótegui & Benitez 237; Salta, Hunziker 25498), Serrano (Salta, Hunziker 25492), Pimiento Calahorra (Córdoba, Hunziker 29428); Bolivia: Ají (Beni, Balderrama 10; Santa Cruz, Saldías P. 759), Urubibi (Beni, Ticona & Saravia May 10), Pimentón colorado (Santa Cruz, Libreros et al. 2014), Brazil: Pimentão (Roraima, Barbosa et al. 2006; São Paulo, Duth s.n.), Pimenta-americana, Pimentão-vermelho, Pimentão-indigena, Pimenta-de-mesa, Pimenta-ornamental, Pimentão-bola, Pimenta-doce (Roraima, Barbosa et al. 2006), Pimenta-jalapeño, Pimenta-cayenne, Pimenta-serrano (Carvalho et al. 2006); Chile: Ají (Concepción, Junge 5755); Colombia: Ají (Amazonas, Cordero P. 683; Chocó, La Rotta & Martínez 737; Guainía, Espina et al. 189; Vichada, Rodríguez 165), Pimentón (Amazonas, Torres & Morales 139; Caquetá, Cárdenas et al. 9310; Cundinamarca, Correa N. 006), Ají amarillo (Caquetá, Cárdenas et al. 9375, Vichada, Rodríguez 1), Ají bravo (Amazonas, Posada 2580), Ají dulce (Amazonas, Cárdenas et al. 9438; Cundinamarca, Duque-Jaramillo 3555), Ají grande (Amazonas, Cárdenas et al. 9432), Ají pajaa (Vaupes, Rodríguez 86), Ají picante (Amazonas, Posada 2581), Ají pimentón (Amazonas, Torres et al. 4011), Ají yunga (Nariño, de Benavides 4673), Ají yuquitania (Vaupes, Plowman 11986), Pimentón dulce (Caquetá, Cárdenas et al. 9360), Pimentón quisquis (Meta, Álvarez & Montañez 1), Ají de agua (Vaupes, Rodríguez 102), Ají de blanco (Amazonas, Henao & Kuiru 172), Ají de curripaco (Vaupés, Rodríguez 105), Ají de gente (Amazonas, Cárdenas et al. 9424), Ají mas picante (Vaupes, Rodríguez 83), Diente de chucha (Caquetá, Cárdenas et al. 9319), Pipí de perro (Caquetá, Cárdenas et al. 9306), Ají largo de blanco (Amazonas, Henao 316), Ecuador: Ají (Chimborazo, Lara s.n.; Pichincha, Mejía 001), Pimiento (Guayas, Bonifaz & Cornejo 4158; Pichincha, Narváez 018), Ají colorado (Tungurahua, Acosta Solís 8848), Ají manzana (Guayas, Valverde 392), Ají patateño (Chimborazo, Ganchozo 007), Manzanita de Eva (Guayas, Valverde 35); El Salvador: Chile de relleno (San Salvador, Calderón 523); Guatemala: Chile (Quezaltenango, Steyermark 34462); Honduras: Chile fuerte (Morazán, Molina R. & Molina 34535), Chile picante (Copán, Molina R. & Molina 33572; Morazán, Molina R. 34008), Chile de gallina (Cortes, Chevez 40); Mexico: Chile (Chiapas, Calzada et al. 3774; Michoacán, Miranda et al. 1519B; Tamaulipas, Rodríguez & Lira 63; Veracruz, Baizabal & Zola B. 12), Picante (Veracruz, Baizabal & Zola B. 11), Pimentón (Michoacán, Bye et al. QD 246), Chile ancho (Guanajuato, Benítez 689; Tamaulipas, Rodríguez & Lira 63b), Chile bolita (Zacatecas, Benítez 738), Chile camote (Tamaulipas, Hernández 1944), Chile cimarrón (México, Hinton 4336), Chile chaua (Yucatán, Simá 610), Chile cora (Zacatecas, Benítez 734), Chile costeño (Campeche, Ramírez A. 56), Chile chilaca (Guanajuato, Benítez et al. 386), Chile delgado (Quintana Roo, Gutiérrez 85-27), Chile dulce (Michoacán, Bye et al. 90; Tabasco, Ortíz 01; Yucatán, Simá 606), Chile gordo (Oaxaca, Hernández Ortega 484; Veracruz, Vázquez 673), Chile guajon (Zacatecas, Benítez 724), Chile kat (Yucatán, Ucan et al. 3519), Chile largo (Quintana Roo, Gutiérrez 85-41), Chile pableño (Guanajuato, Vieyra s.n.), Chile pasilla (Tamaulipas, Rodríguez & Lira 63ª), Chile pimienta (Mexico, Rodin 40), Chile pimiento (Mexico, Linares 846), Chile serrano (Hidalgo, Villa 71; Oaxaca, Martínez Calderón 1643; Veracruz, Zola & Baizabal 1439), Chile uñepicho (Veracruz, Díaz Rico 48), Chile verde, chile de huerta (Michoacán, Soto Núñez et al. 5442), Chile xalapeño, Calzada 2367), Fruto azul (Guerrero, Díaz Rico 221), Pimiento grande (Oaxaca, Bamonte 77), Chile de agua (Oaxaca, Acosta Castellanos 9417), Chile de árbol (Michoacán, Soto N. 14302), Chile de vida o chilar (Oaxaca, Moreno 29), Chile mira parba (Tabasco, Ortíz 07), Chile pico paloma (Tabasco, Ortíz 20), Chile de árbol de bola (Michoacán, Soto Núñez 14047), Chile de uña de perro (Veracruz, Vázquez 998); Nicaragua: Chile (León, Guzmán et al. 1011); Panamá: Ají (Canal Zone, Standley 28523), Sweet pepper, pimiento morrón, ají (Canal Zone, Standley 29880); Peru: Encarnado (Lima, Velarde Nuñez 20), Pimiento (Lima, Vilcapoma S. 84), Aji amarillo (Lima, Vilcapoma S. 85), Ají cerezo (Lambayeque, Libreros et al. 2013), Ají dulce (Loreto, Hormia 2228), Ají limón (Trujillo, Plowman 14541), Ají tomate (Junín, Ridoutt 11714), Bobo panca (Lima, Velarde Nuñez 19), Cerezo triangular (Lambayeque, Libreros et al. 2013), Conico amarillo (Lima, Velarde Nuñez 26), Cónico panca (Lima, Velarde Nuñez 18), Tambo Tacna (Lima, Velarde Nuñez 22), Aji Acarí Moquegua (Lima, Velarde Nuñez 7); United States of America: Black Chile or Chile negro (New Mexico, Wooton 48), Red Chile or Chile rojo (New Mexico, Wooton 49). Venezuela: Ají caribe (Portuguesa, Aymard 5108). Indigenous names: Bolivia: Ta (Beni, Ticona & Saravia May 10); Colombia: Aati (Curripaco, Guainía, Espina et al. 189), Aii (Cauca, Plowman & Vaughan 5370), Asi (Piapoco, Vichada, Rodríguez 177), Azi (Piapocos, Vichada, Rodríguez 165), Biaá (Tanimuka, Amazonas, Cárdenas et al. 9406), Coc (Puinabe, Vichada, Rodríguez 169), Curripaati (Tucano, Guainía, Marín & Rodríguez 502), Fecog? (Bora, Amazonas, Torres et al. 4020), Fekorai (Huitoto-M?n?ka, Amazonas, Henao 167), Jipujou (Caquetá, Cárdenas et al. 9330), Jumerien (Sukuare, Vichada, Rodríguez 1), Mèe (Colona, Amazonas, Torres & Rodríguez 2021), Mun? (Huitoto, Amazonas, Posada 2577), Nubata (Andoque, Amazonas, Torres et al. 4047), Pidá (Emberá, Chocó, La Rotta & Martínez 737), R?airai (Huitoto-M?n?ka, Amazonas, Henao & Kuiru 172), Arera r?airai (Huitoto-M?n?ka, Amazonas, Henao 316), Yicane (Miraña, Caquetá, Cárdenas et al. 9375), Jeba gayebá (Mui, Castro et al. 238), Masan via (Amazonas, Cárdenas et al. 9424), Pipita deé (Mui, Amazonas, Castro 305), Viahoracá carunoje (Tanimuka, Amazonas, Cárdenas et al. 9432); Ecuador: Aatyu (Chapalaachi, Yañez et al. 1485), Uchu (Quichua, Napo, Kohn 1225), Ahí bia (Siona & Secoya Indians, Napo, Vickers 211), Suara pia (Siona & Secoya Indians, Napo, Vickers 227), Soa horo bia (Siona & Secoya Indians, Napo, Vickers 200); Mexico: Cants (Huave, Oaxaca, Zizumbo & Colunga 145), Chaunik (Yucatán, Vargas 66), Guiin-cànár (Zapateco, Oaxaca, Hunn OAX-1345), Guiin-ló-yág (Zapateco, Oaxaca, Hunn OAX-1341), Guiin-ló-ngÚbidz (Zapateco, Oaxaca, Hunn OAX-1343), Guiin-nàl-zhàb (Zapateco, Oaxaca, Hunn OAX-1342), Guiin-txxtlé (Zapoteco, Oaxaca, Hunn OAX-1344), Moo-o-re (Oaxaca, Hernández Ortega 482), Moo-o-qui (Oaxaca, Hernández Ortega 481), Niiy (Oaxaca, Antonio B. GUI 201), Xcatic (Maya, Quintana Roo, Villanueva 591), X-mash ik (Quintana Roo, Gutiérrez 85-26), X-mehen (Quintana Roo, Gutiérrez 85-27), Xkat-ik (Maya, Quintana Roo, Gutiérrez 26), Ya Jimia (Morona-Santiago, Evans 4384), Ya’axik (Maya, Quintana Roo, Gutiérrez 109), Chaua ik (Yucatán, May 39), Ixa nadun (Guerrero, Wagenbreth 130), Kat ik (Yucatán, Ucan et al. 3529), Nadam kanc (Huave, Oaxaca, Bamonte 77), Namis kanc (Huave, Oaxaca, Bamonte 79), Yaá dia (Mixteco, Guerrero, Díaz Rico 221), Yak ik (Quintana Roo, Gutiérrez 85-71), Ixe dun xkuiya smidi (Guerrero, Wagenbreth 687); Peru: Iwiá (Mayna Jívaro, Loreto, Lewis et al. 10922), Kistian jima (Amazonas, Ancuash 297), Mun hima (Amazonas, Berlín 1572), Tsitikana ogat-santsakarioni (Machiguenga, Cuzco, Johnson 70)."
wfo-0001026988,"Australia: whitetip nightshade (Symon 1981; Edmonds and Chweya 1997); New Zealand: velvety nightshade (Webb et al. 1988; Edmonds and Chweya 1997); South Africa: nastergal; United Kingdom: tall nightshade (Stace 2010). Argentina. Buenos Aires: kushú-kushú (as S. sublobatum, Martínez Crovetto 1968), yerba mora (Robles et al. 1869); Córdoba: yerba mora (Müller et al. 308); Salta: iój s(l) I s(l) I (Vilela, as S. gracile, Martínez Crovetto 1965). Uruguay. Montevideo: yerba mora (Barattini s.n.). "
wfo-0001027811,"Canada. Eastern black nightshade, morelle noire de l’est (Bassett and Munro 1985, as S. ptychanthum); crêve-chien; tue-chien (Québec, Marie-Victorin et al. 3942). United States of America. American black nightshade (USDA Plants 2017, as S. ptychanthum), Eastern black nightshade (Ogg et al. 1981; Uva et al. 1997, both as S. ptychanthum). The common name of “West Indian nightshade” recorded in USDA Plants (2017) for this plant certainly refers to S. americanum."
wfo-0001028687,"United States of America. Deadly nightshade (USDA Plants 2017), Inland nightshade, Plains black nightshade, morelle de l’interieur (NatureServe 2017), Yerba mora negra (New Mexico, Hill 14851)."
wfo-0001031072,"Benin: odu, ogomo, feibii (Essou and Hermann 2006); Cameroon: houlohada, legume vert, njebanyoon, ossan, tindar noon, wikitiniho, zom/zoum; China: mu long kui (Zhang et al. 1994); C&ocirc;te d'Ivoire: foue; Equatorial Guinea: hierba mora, nahú, seba [Bubi people], sisa; Ghana: nsusua; Madagascar: anamamy, brede; Nigeria: awa ibo, gautan kaji, kumbi, odu, ogunmo, ugumakbe; São Tome e Principe: losua; Sierra Leone: a-kempa,borisuguli, filami, kemba, kembei, kholekoleden-na, magboli, reinpa, timbainyi; Slovenia: ?u?oried kovitý (Bertová; and Golia&scaron;ová; 1993); South Africa: nastagal; South Sudan. nzuobire; Tanzania: isonga (Kinyakyusa language); Uganda: eshwiga, eshwiga enzungu, kujikuji, nswiga ya kizungu; United Kingdom: garden huckleberry (Stace 2010). United States of America. Garden huckleberry (Heiser 1969)."
wfo-0001025855,Indonesia: ranti hutan.
wfo-0001029815,"Australia: blackberry, black berry nightshade (Symon 1981); China: paak fa tsai ts'o [Hainan], long kui (Zhang et al. 1994); Denmark: kirtel-natskygge, sort natskygge (Hartvig 2015), sort natskygge (Frederiksen et al. 2006); Egypt: anabadib [Berber], aneb el dib, enab athib; Estonia: must maavits (Kukk and Kull 2008); Finland: mustakoiso, karvamustakoiso (Hämet-Ahti et al. 1998); France: morelle noire (Jauzein and Nawrot 2011); Germany: schwarzer Nachtschatten; India: makoi [Hindi], kakamachi [Bengali, Sanskrit], kakahva [Sanskrit]; Iraq: dubbais, habbat seda; Italy: morella commune, erba morella, pomidorella, ballerina (Pignatti 1982), solano nero; Japan: inuhozuki, inn-hodzuki, kanzashi-inuhoozuki; Libya: aneb el dib/aneb el dhib; Lithuania: juodoji kiauliauog? (Natkevi?ait?-Ivanauskien? 1976); Malaysia: beliwan; Nepal: kamai; New Zealand: black nightshade (Webb et al. 1988); Norway: svartsøtvier (Lid et al. 2005); Pakistan: tolangur; Philippines: amti, amtih (Ifugao language), moti; Poland: psianka czarna (Paw?owskiego 1963); Portugal: herva moira morelle commune, pera de Santa Maria; Saint Helena: Tristan blackberry; Slovenia: lulok ?ierny (Bertová; and Golia&scaron;ová; 1993); Spain: yerba mora, hierba mora; Sweden: nattskatta, h&aring;rig nattskatta (Mossberg et al. 2003); United Kingdom: black nightshade; Canada: Black nightshade, morelle noire (Alex et al. 1980; Bassett and Munro 1985); United States of America: Black nightshade (many sources)."
wfo-0001030626,"Cameroon: afom.
"
wfo-0001029498,"Ethiopia: alam tch'aguar; Kenya:. ap-poinet, isusa, manage, nafu, ol' momoit/olmomoi, soiyot, sonja sucha, sujet; Saudi Arabia: gebel soda; Uganda: ekyala ky'ente, kyalakyente, orushwiga, osiga.
"
