wfo_id,description,citation,language
wfo-0001202371,"Habitat: Epiphyte des lisiéres des forêts sempervirentes de montagne et des trouées pratiquées dans celles-ci, sur les arbres de la flore indigène, mais également sur des arbres plantés (Eucalyptus, Acacia...).
Distribution: Montagnes de l’Afrique orientale, de Ethiopie jusqu’au Transvaal. En Afrique occidentale: Monts Lomaet massif du Cameroun. Connu à Madagascar. Croît peut-être dansla Serra de Chela, dans l’Angola.","Vanden Berghen, C. 1976. Frullaniaceae (Hepaticae) africanae. Bull. Jard. Bot. Belg. 46(1/2): 1-220. [https://www.jstor.org/stable/3667414] [All rights reserved]",German
wfo-0000000975,"Morphology: Aufrechter, niedriger, bis 20 cm hoher Strauch. Stengel verzweigt beblättert und abstehend lang borstig. Blätter wechselständig, oblanzeolat, ganzrandig, bis 15 x 2 mm, dicht und abstehend lang borstig, sitzend, einnervig. Köpfchen einzeln an undeutlich abgesetzten Pedunkeln, diese ca. 3 cm lang fast bis oben beblättert und abstehend borstig. Involucrum 3-4-reihig, bis 5 mm im Durchmesser. Hüllblätter Ianzettlich, borstig, einnervig, strohgelb bis grünlich, die äusseren 3 x 0.5 mm, die mittleren 3.5 x 0.8 mm, die inneren 5 x 0.5 mm. Zungenblüten ca. 20, Ligula blau, bis 9 x 1.5 mm. Scheibenblüten zahlreich, Krone gelb bis 3.5 mm lang. Griffelanhängsel dreieckig. Pappusborsten zahlreich, gleichlang, zart, gezähnt, weiss, abfallend, bis 3.5 mm lang. Achänen obovat, 2.5 x 1 mm, braun, glatt, mit schlanken an der Spitze nicht verbreiterten Haaren besetzt.
Diagnostic: Die Sippe unterscheidet sich von der nächstverwandten F. hirsuta durch die breiteren Blätter und die drüsenlosen und mit abstehenden Borsten besetzten Pedunkeln. Von F. clavipilosa ist sie durch die nicht kopfigen Achänenhaare und die abstehenden Borsten zu trennen.
Distribution: F. deserti ist im Nordwesten der Kapprovinz von Upington bis Namaqualand verbreitet.","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",German
wfo-0000001190,"Morphology: Ein bis 1.60 m grosse, lediglich im Infloreszenzbereich verzweigte, stark verholzte Pflanze. Stengel grau-filzig, gleichmässig dicht beblättert. Blätter eiförmig bis rundlich, 5 x 3 mm bis 43 x 41 mm, derb, fast sitzend bis deutlich gestielt (-7 mm), stets ohne ™hrchen, Rand eng und fein gezähnelt, oberseits verkahlend, unterseits dick grau-filzig behaart. Köpfchen apikal und subapikal an bis 5 cm langen Ästchen. Involucrum trichterig-glockig, 7- bis 8-reihig, 10-15 mm hoch. Hüllschuppen strohig, ± grau-filzig (fädige Gliederhaare) und drüsig (gestielte Kopfdrüsen) behaart, die äussersten eiförmig, 2.9 x 1.6 mm, Rand bewimpert, die inneren und innersten schmal lanzettlich, 9 x 1.2 mm und 8.9 x 0.9 mm, Rand hell bis hyalin, zerschlitzt, Spitzen bräunlich und gefranst. Zungenblüten 17-25, Ligula elliptisch, 7.8 x 2.8 mm bis 11.1 x 3 mm, weiss oder hell- bis dunkel-violett, 3-zähnig, 4- bis 8-nervig, ± drüsig behaart, Staminodien vorhanden. Röhrenblüten 35-68, Krone 7.8-9.1 mm lang, weiss, gelb oder violett, ± drüsig behaart, manchmal zusätzlich mit steifen Haaren besetzt. Pappus bestehend aus 27-40, bis 8 mm langen, barbellaten Borstenhaaren in 2-3 Kreisen, Borsten des äusseren Kreises kürzer und schwächer, zerschlitzt bis gezähnt. Achänen schwach spindelförmig, 3 x 1.3 mm, braun, mit 9-11 Rippen, mit Drüsen- und steifen Zwillingshaaren besetzt.
Diagnostic: P. pyrifolia ist mit P. auriculata verwandt. Am Herbarmaterial ist es mitunter schwierig, eindeutig zu entscheiden, um welche der beiden Sippen es sich handelt. P. pyrifolia ist lediglich im Infloreszenzbereich gering verzweigt, während P. auriculata insgesamt reichlich verzweigt ist. Die Blätter der P. pyrifolia sind derber, mehr rundlich, weniger drüsig behaart, der Blattrand dichter gezähnelt als bei P. auriculata. P. pyrifolia hat nie Blattöhrchen, bei P. auriculata sind gelegentlich ™hrchen vorhanden. Die P. pyrifolia-Hüllschuppen sind stets derb, spröde und nur schwach drüsig behaart. P. pyrifolia blüht von Dezember bis Juni, hauptsächlich aber im März, P. auriculata blüht zum frühesten Zeitpunkt im April, aber vornehmlich im Juli.
Habitat: Sie wächst auf steinigem, felsigen Grasland, insbesondere in der Nähe von Bächen und Flüssen.
Distribution: Das Verbreitungsareal von P. pyrifolia liegt im Nordosten der Kap-Provinz mit Ausstrahlungen nach Natal und Lesotho.","Kroner, G. 1980. Systematische studien im umkreis von Athrixia Ker-Gawler (Asteraceae). Mitt. Bot. Staatssamml. München 16: 1-268. [http://www.biodiversitylibrary.org/item/52055#page/17/mode/1up] [All rights reserved]",German
wfo-0000002376,"Morphology: Kräftiges, einjähriges, bis 25 cm hohes, oft reich verzweigtes Kraut. Hauptspross aufrecht, Seitensprosse aufsteigend. Besonders im unteren Teil reich beblättert. Blätter mit Ausnahme der allerersten wechselständig, schmal bis breiter oblanzeolat, 2-10 mm breit, bis 6 cm lang, stumpf, ganzrandig, einnervig, stark borstig, unterschiedlich stark drüsig. Köpfchen gross und kräftig, an bis zu 10 cm langen, praktisch blattlosen Pedunkeln. Involucrum streng zweireihig, bis 10 mm im Durchmesser. Hüllblätter gleichlang (ca. 6 mm), die äusseren lanzettlich, bis 1 mm breit, drüsig und borstig, an der Spitze bewimpert, die inneren schmal obovat, bis 1.5 mm breit trocken hautrandig, verkahlend. Zungenblüten zahlreich, leuchtend blau, Ligula 20 x 2.5 mm, der röhrige Teil zart behaart. Scheibenblüten zahlreich, Krone gelb, 5 mm lang, zart behaart, Griffelanhängsel schmal dreieckig. Pappusborsten zahlreich, 3-5 mm lang, weiss, gezähnt, unterschiedlich kräftig, abfallend. Achänen gross, 3 x 1.5 mm, obovat, gelbbraun bis braun, mit starkem Randwulst. Fläche und Kante des Randwulstes mit dicklichen 0.5-1 mm langen Haaren, Epidermis schuppig.
Diagnostic: F. namaquana ist eine je nach äusseren Umständen stark veränderliche Sippe. Vereinzelt treten Exemplare mit kahlen Achänen auf (MARLOTH 7650), denen jedoch keine taxonomische Bedeutung beigemessen werden kann. Die nächst verwandten Sippen sind F. puberula und F. merxmuelleri, mit der die Art die relativ stark abgeleitete Chromosomenzahl 2n = 10 gemeinsam hat.
Distribution: Felicia namaquana hat ihren Verbreitungsschwerpunkt im Namaqualand, strahlt dann nach Südwestafrika im Norden, in den zentralen Teil ostwärts bis Kuruman und Britstown und nach Südosten vereinzelt bis Ceres und Laingsburg aus.","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",German
wfo-0000003066,"Morphology: Niedriger, bis 30 cm hoher Strauch mit stark verdicktem Rhizom, ± stark verzweigt, besonders basal oft stark verholzt. Stengel mit nach oben gerichteten, weissen, mehrzelligen Borsten. Blätter immer gegenständig, stengelumfassend bis basal schwach verwachsen, 5 x 2 mm bis (selten) 25 x 7 mm, schmal eiförmig bis lanzettlich, graugrün, starr, mit langen weissen gegliederten nach vorne gerichteten Borstenhaaren, Spitze oft schwach zurückgebogen, Blattrand nach unten mässig eingerollt. Köpfchen einzeln an Seitenzweigen mit langen Pedunkeln (10-20 cm), diese mit einzelnen kleinen Hochblättern, abstehend borstig und zuweilen mit mehrzellig gestielten Drüsen. Involucrum 2-3-reihig, bis 8 mm im Durchmesser. Hüllblätter lanzettlich, 6 x 1 mm bis 7 x 1.5 mm, die äusseren borstig und mit kurzen dunkelköpfigen Drüsen, einnervig, die inneren wenig länger, oben schwach verbreitert, mit trockenhäutigem Rand, vereinzelt borstig und drüsig, Spitze borstig bewimpert. Ca. 20 Zungenblüten, 15 x 2.5 mm, blau. Scheibenblüten zahlreich, bis 6 mm lang, gelb, oft rot überlaufen, basal kurzhaarig, Griffel mit schmal dreieckigem Anhängsel. Pappusborsten zahlreich, gleichlang, bis 7 mm, weiss bis bräunlich gelb, lang gezähnt (barbellat), basal jedoch ungezähnt. Zähne bis 0.2 mm lang. Achänen bis 4.5 x 2 mm, flach, elliptisch, mit wenig ausgeprägtem Randsaum, zerstreut kurzhaarig, schwarz-grün, Epidermis schuppig.
Diagnostic: Besonders die Blattform und -grosse kann bei F. ovata stark von äusseren Umständen beeinflusst werden. Sie mag auf Grund des strauchigen Wuchses und der undeutlich dreireihigen Hüllschuppen noch gewisse Beziehungen zur sect. Felicia aufweisen, vermittelt jedoch auch zur sect. Neodetris (fast gleichlange Hüllschuppen, kurzborstige Achänenbehaarung, blaue Zungenblüten und gegenständige Blätter).
Distribution: F. ovata hat eine weite allerdings lockere Verbreitung durch die zentralen Karroogebiete von Calvinia bis Aliwal North, gelangt weder im Westen noch im Osten an die Küste, die nur im Süden zwischen Riversdale und Humansdorp erreicht wird.","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",German
wfo-0000004639,"Morphology: Einjähriges, ausgebreitetes Kraut bis flaches Polster, von der Basis an reich sparrig verzweigt, (1-)5-10 cm hoch und (3-)10-25(-35) cm im Durchmesser. Hauptspross am Grunde bis 10 mm stark, aufrecht, nach längstens 2 cm ein Köpfchen tragend, gleich am Boden in 4-8 Seitenäste verzweigt. Seitenzweige niederliegend bis aufsteigend, spreizend verzweigt. Stengel hellbraun bis braunviolett, etwas gefurcht, durch herablaufende Ölbehälter dunkel gestreift, kurze weisse Borstenhaare tragend, basal wenig, oben dicht beblättert. Blätter bis auf die ersten Blattpaare wechselständig, unter den Köpfchen rosettig gehäuft, oblanzeolat, ganzrandig, (8-)10-20(-25) mm lang und (2.0-)2.5-3.5(-4.5) mm breit, dunkelgrün, gelegentlich mit kleinen Ölbehältern durchsetzt, derb, etwas runzelig, rauh, beiderseits weiss gepunktet durch dicke, kurze, weisse, gegliederte Borstenhaare, die weissen, vielzelligen, blasigen Höckern aufsitzen. Köpfchen einzeln, sitzend, von sekundärer Hochblatthülle umgeben. Hochblätter meist mit mehreren grossen, ovalen, rotbraunen Ölbehältern durchsetzt; die äusseren wie normale Laubblätter gestaltet, die inneren kleiner, bis 11 x 3 mm gross, mit laubblattartigem oberen Teil und weisshäutig berandetem, dem Köpfchen dicht anliegendem unteren Teil. Eigentliches Involucrum ca. 3-reihig, (8-)10-12(-13) mm im Durchmesser, durch die Hausäume der Hüllschuppen weiss längsgestreift, halbrund, bei der Reife dicht krugförmig geschlossen. Hüllschuppen linealisch-lanzettlich, dunkelgrün, oft violett überlaufen, mit langen und kurzen Borsten besetzt, alle mit breitem, derbem, weissem Hautrand; die äusseren 6-7 x 1.5 mm, mit kurzer laubblattartiger, auch an der Innenseite borstig behaarter, zurückgebogener Spitze, meist mit mehreren braunen Ölbehältern im oberen Teil; die mittleren 6-7 x 1.2 mm, spitzer, weniger behaart, mit 1-3 grossen Ölbehältern an der Spitze; die inneren 7-8 x 1.2 mm, zarter, zugespitzt, meist nur mit 1 grossen, rotbraunen Ölbehälter an der Spitze. Köpfchenboden wenig gewölbt, bis 4 mm im Durchmesser. Spreuschuppen fehlend. Zungenblüten 14-22(-24); Ligula schmal obovat, (7-)8-12(-13) mm lang und (1.8-)2.2-2.5 mm breit, violett bis blau; Röhre relativ lang, 3.5-4.5 mm, drüsig behaart. Röhrenblüten bis ca. 120; Krone schmal gerade, 6-9 mm lang, gelb, manchmal oben violett überlaufen, im unteren Teil drüsig behaart, mit Ölstriemen entweder an den 3 zur Innenseite des Köpfchens gewandten Einschnitten zwischen den Kronzipfeln oder an allen 5; Griffelanhängsel lang dreieckig (ca. 2:1); Antheren 1.8-2.2 mm lang.  Pappus bestehend aus Borsten und Schuppen; Borsten 5, vor allem oben dicht und lang gezähnt, (4.0-)4.3-4.8(-5.0) mm lang; Schuppen ebensoviele, 0.2-0.3(-0.5) mm lang. Achänen keilig-obovat, 1.5-2.0 x 0.8-1.2 mm, hellgrau mit weisslichem, oben etwas wulstig verdicktem Rand, dunkel gepunktet durch die Ansatzstellen der zahlreichen seidigen Haare. Achänenhaare bis 1.0 mm lang, schmal, gerade, kurz zweispitzig. Achänen der Zungen- und Röhrenblüten gleich dicht behaart.
Diagnostic: A. epaleaceus ist durch die weissgestreiften Köpfchen mit der dichten Hochblatthülle, die fehlenden Spreuschuppen und die rauhe Behaarung in allen Teilen leicht zu erkennen. Die kurzen weissen Borstenhaare auf weissen Höckern fallen an den dunklen Pflanzen stark auf und lassen sie weiss gepunktet erscheinen.Bei dieser Sippe lassen sich deutliche Tendenzen zur wiederholten Bildung einer Aussenhülle feststellen. Die eigentlichen Hüllschuppen sind wie sonst in der Gattung in der äussersten Reihe am kürzesten. Die längeren Hüllblätter, deren obere Hälfte bzw. obere zwei Drittel laubblattartig gestaltet sind und die nur im unteren, dem Köpfchen anliegenden Teil einen breiten Hautrand besitzen, müssen der sekundären Hochblatthülle zugeordnet werden. Diese schon deutlich angepasste Hülle wird wieder von normalen Laubblättern umgeben. Es sind also mindestens 3 Kategorien von Hüllorganen zu unterscheiden. Genau genommen ist wohl schon die äusserste, kürzeste Hüllschuppenreihe sekundär hinzugekommen, was sich aus den kurzen laubblattartigen Spitzen schliessen lässtDas Fehlen der Spreuschuppen macht eine Einbeziehung der Art in Amellus etwas schwierig. Nachdem aber auch bei anderen Arten der Gattung reduzierte oder z.T. ganz fehlende Spreuschuppen auftreten, (A. nanus, A. microglossus), stellt A. epaleaceus sicher ein Endglied dieser Entwicklung dar und wurde von HOFFMANN zu Recht als Amellus beschrieben. Die fehlenden Spreuschuppen deuten eine stark abgeleitete Art an. Einige Merkmale (Basiszahl x = 9, lange Pappusborsten, grosse Röhrenblüten mit langen Antheren und lang-dreieckigem Griffelanhängsel) sind aber für Amellus ursprünglich und lassen vermuten, dass A. epaleaceus eine frühe eigene Entwicklung darstellt. Hier schliesst sich der Kreis von den abgeleiteten Arten zu den Sippen der asteroides-Gruppe. Die Übereinstimmung mit der vorigen Art beschränkt sich zum grossen Teil auf Merkmale, die im Zusammenhang mit der Synaptospermie dieser beiden Sippen gesehen werden müssen: zur Reife fest geschlossene Köpfchen, Reduktion bzw. Verlust der Spreuschuppen sowie kleine, lang und dicht behaarte Achänen.
Distribution: A. epaleaceus ist locker zu beiden Seiten des unteren Oranje verbreitet mit östlichen Ausstrahlungen bis in die Gegend um Kenhardt und gehört damit zum Gariep-Element im weiteren Sinne. Der östliche Beleg entstammt einer heterogenen Aufsammlung mit A. tridactylus subsp. arenarius (HUTCHINSON 949), die sowohl in Kew als auch in Pretoria je ein Exemplar von A. epaleaceus enthält. Der Fundort wird daher als gesichert angenommen.","Rommel, A. 1977. Die Gattung Amellus L. (Asteraceae-astereae). Systematischer Teil. Mitt. Bot. Staatssamml. München 13: 579-728. [All rights reserved]",German
wfo-0000005718,"Morphology: Einjähriges, mittelkräftiges, aufrechtes Kraut, bis 25 cm hoch. Nach oben reich regelmässig verzweigt. Stengel abstehend borstig und drüsig. Blätter bis auf selten auftretende Hochblätter gegenständig, lanzettlich, elliptisch bis oblanzeolat oder obovat, bis 3.5 x 0.6-1 cm, ganzrandig oder schwach kurzzähnig, undeutlich gestielt bis sitzend, langhaarig. Köpfchen einzeln an bis zu 8 cm langen Pedunkeln. Involucrum 2-reihig, bis 0.5 cm im Durchmesser. Hüllblätter gleichlang, die äusseren 3.5 x 1 mm, lanzettlich, die inneren 3.5 x 1.5 mm, obovat, trockenhäutig am Rand, alle borstig und drüsig. Ca. 12 Zungenblüten, Ligula 7 x 1.5 mm, blau. Scheibenblüten zahlreicher, die äusseren zwittrig, die inneren männlich, Krone bis 2.5 mm, gelb. Griffelanhängsel breit, dreieckig, elliptisch, die männlichen Blüten ohne Narben. Pappusborsten ca. 10, 1.5-2.5 mm lang, weiss, abstehend borstig, abfallend. Achänen relativ gross, 3 x 3 mm, obovat, gelbbraun bis rotbraun, Fläche sowie Kante des sonst kahlen Randwulstes mit starken, bis 1 mm langen Haaren, Epidermis schuppig. Die sterilen Achänen der innersten Scheibenblüten kahl.
Diagnostic: F. bergeriana ist eine oft verkannte Sippe mit der meist kleinere Pflanzen anderer annueller Arten der Sektion Neodetris verwechselt wurden. Sie ist jedoch leicht kenntlich durch ihre immer gegenständigen Blätter und ihre für die relativ kleinen Köpfchen grossen Achänen. Einmalig in der ganzen Gattung sind zudem die inneren narbenlosen männlichen Scheibenbiüten.
Distribution: F. bergeriana ist locker vom Namaqualand bis zur Kaphalbinsel verbreitet.","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",German
wfo-0000006827,"Morphology: 10 bis 60 cm hoher, aufrechter, meist reich verzweigter Strauch. Spross oft in gestreckten Langtrieben endend, mit rotbrauner Rinde, borstig behaart, an den älteren Teilen verkahlend. Blätter wechselständig, linealisch bis lanzettlich, basal etwas verbreitert, 3 x 0.5 mm bis 12 x 1.5 mm, dicklich, einnervig, weiss borstig, die jüngeren auch drüsig, graugrün. Köpfchen einzeln an deutlich abgesetzten bis 7 cm langen, besonders unterhalb der Köpfchen reich drüsigen Pedunkeln. Involucrum 3-4-reihig, bis 5 mm im Durchmesser. Hüllblätter lanzettlich bis schmal obovat, bis auf wenige äussere und kürzere (2.5 x 0.5 mm) fast gleich gross (4.5 x 1 mm), besonders die äusseren borstig und mit dunkelen Drüsen besetzt, die inneren verkahlend und hautrandig, alle mehr oder weniger deutlich harzrippig und oft rot überlaufen. Zungenblüten ca. 30, Ligula blau violett, 8 x 1.5 mm. Scheibenblüten zahlreich, Krone gelb, bis 4 mm lang, Griffelanhängsel dreieckig. Pappusborsten zahlreich, zart, gleichlang, weiss, gezähnt, oben in eine zarte Spitze zulaufend, abfallend, bis 3 mm lang. Achänen obovat, 2 x 1.25 mm, bräunlich, ohne deutlichen Rand, mit mittellangen, nach vorne schwach verbreiterten, zweispitzigen Haaren.
Diagnostic: F. hirsuta ist eine stark umweltgeprägte Art. Ihr Wuchs kann gedrungen kurzstrauchig bis zu hochaufgeschossenen Halbstäuchern wechseln. Letztere sind besonders durch ihre auffallenden Langtriebe gekennzeichnet. Dieser augenscheinlich standortbedingte Wechsel des Erscheinungsbildes hat zur Folge, dass habituell sehr heterogenes Material in einer Sippe vereinigt wird. Auch Blattgestalt und besonders der Sukkulenzgrad der Blätter wechseln stark. So stehen Pflanzen mit langen, schmal oblanzeolaten Blättern anderen mit kurzen, dicklichen und im Querschnitt fast runden Blättern gegenüber. Neben der Tatsache, dass recht unterschiedliche Pflanzen aus einer Kollektion existieren können, ist die Einheitlichkeit aller Formen in einigen umweltunabhängigeren Merkmalen für ihre Zusammenfassung unter einer Art verantwortlich. Wesentlich ist hierbei die Drüsenbehaarung der Köpfchenstiele, die relativ grossen Hüllschuppen, die borstige Behaarung der Blätter, die flachen schwarz-braunen Achänen und deren etwas zur Spitze hin verbreiterten Haare. Von F. hirsuta unterscheidet sich die Art durch die andere Behaarung und die wesentlich schmäleren Blätter, von F. muricata durch die meist flachen Blätter, die geringe Anzahl büscheliger Kurztriebe, die drüsigen Pedunkeln und die andersgestalteten Achänen. F. clavipilosa weicht besonders durch ihre charakteristischen Achänenhaare ab.
Distribution: F. hirsuta ist vom südlichen Südwestafrika nach Süden bis Ceres, und Oudtshoorn, nach Osten im Landesinneren locker bis zu einer Linie Colesberg-Graaf Reinet-Steytlerville verbreitet. Mit einem Fundort wird der Südwesten des Orange Free State erreicht.","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",German
wfo-0000006928,"Morphology: Niedriger, verzweigter, bis 40 cm hoher Strauch. Stengel braun, mit endständigen Langtrieben und seitenständigen Kurztrieben, kahl bis auf wollige Behaarung der Blattachseln. Blätter wechselständig, locker stehend, sehr unterschiedlich gestaltet, breit linealisch, schwach sukkulent, bis 12 x 2 mm, mit aufgesetzter Spitze, selten mit 1-3 stumpfen Zähnen, die obersten mit einzelnen gestielten Drüsen; im Nordwesten des Areals Blätter breit bis schmal lanzettlich, bis 20 x 1 mm, niemals gezähnt. Alle Blätter an der Basis mit knieförmig abstehendem Mittelnerv, dieser am Stengel herablaufend. Köpfchen einzeln an den Langtrieben, Pedunkeln undeutlich, nur oben blattfrei und kurz drüsig, gerieft. Involucrum ca. 4-reihig, bis 1.2 cm im Durchmesser. Hüllblätter dachig, 3 x 1 mm (aussen) bis 8 x 2 mm (innen), lanzettlich bis oblanzeolat, mit trockenhäutigem, schwach gefransten Rand, mit dickem Mittelnerv und dunkel pigmentierter Spitze. Zungenblüten ca. 8; Ligulae 25 x 2.5 mm, violett. Scheibenblüten zahlreich, gelb, Krone 7 mm lang; Griffelanhängsel schmal dreieckig. Pappusborsten zahlreich, undeutlich verschieden lang (9 und 5 mm), persistent, gelblich weiss, gezähnt. Achänen 5 x 2 mm, obovat, Epidermis mit kleinen Schuppen, sehr lang dicht seidig behaart, rotbraun, Randwulst schwach ausgebildet.
Diagnostic: F.whitehillensis ist besonders gekennzeichnet durch die lang seidenhaarigen Achänen sowie die charakteristische Blattform, die Wuchsform entspricht der von F. filifolia ssp. schaeferi. Die Sippe ist besser neben F. lasiocarpa einzuordnen. Die Pflanzen aus Calvinia weichen durch die längeren, immer ungezähnten Blätter und deren mehr graugrüne Farbe ab. Die Übergänge sind jedoch gleitend und eine besondere taxonomische Behandlung dieser Population erscheint daher unangebracht. Hinzu kommt, dass die Aufsammlung aus dem Namaqualand in diesen Eigenschaften wieder ganz dem Typ entspricht. F. whitehillensis ist eine weitere Sippe aus diesem Formenkreis, die eine Tendenz zum Verlust der Zungenblüten zeigt. Bei der Aufsammlung MERXMÜLLER & GIESS 3765 fehlen sie ganz, bei ACOCKS 18407 treten sie noch vereinzelt auf, wie seine Anmerkung ‘rays mauve but rarely occuring - these are few on these specimens’ zeigt.
Distribution: F. whitehillensis findet sich in den Karroogebieten von Laingsburg und Ceres, zwischen Calvinia und Clanwilliam und im Namaqualand, sowie in der Gegend um Prince Albert.","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",German
wfo-0000007262,"Morphology: Niedriger, bis 40 cm hoher, rutiger, wenig sparrig verzweigter Strauch. Stengel unten weitgehend kahl, dicht mit bogig nach oben gerichtet anliegenden Blättern bedeckt. Blätter linealisch-lanzettlich 16-18 mm x 1-1.5 mm, rinnig, bis auf den nach oben eingerollten borstig gezähnelten Rand kahl. Köpfchen einzeln endständig, an kurzen bis 1 cm langen, mit dünnen weissen Borsten besetzten Pedunkeln. Involucrum 3-4-reihig, bis 13 mm im Durchmesser. Hüllblätter verschieden lang, lanzettlich, 8 x 1.5 mm bis 10 x 1.5 mm, randlich borstig, mit Sekretbehältern. Ca. 20 Zungenblüten, Ligula 10 x 2 mm, blauviolett, mit im oberen Teil behaartem, röhrigen Abschnitt. Scheibenblüten zahlreich, Krone bis 4 mm lang, gelb, in der Mitte behaart. Griffelanhängsel schmal-dreieckig. Pappusborsten zahlreich, 4 mm lang, kurzgezähnt, vorne etwas verbreitert, gelblichweiss, ± abfallend. Achänen obovat, bis 3.2 x 1.2 mm, mit schwachem Randsaum, gelblich bis rötlich; die der Zungenblüten kahl, die der Scheibenblüten kurzhaarig.
Diagnostic: Die Beziehungen zu F. echinata sind sehr eng, die Unterschiede jedoch konstant (Blattform und Behaarung). Sie stellt eine Paralellentwicklung zu Polyarrhena stricta Grau dar.
Distribution: Felicia westae besitzt ein enges Verbreitungsgebiet hauptsächlich in der Gegend von Humansdorp.","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",German
