wfo_id,description,citation,language
wfo-1200001704,"Morphology: Perennial herb, 0.05-0.20 m high; with considerable variation. Stipules distinctly foliaceous, widely ovate. Inflorescences of terminal and axillary racemes.
Habitat: Ravines, rock pools, riverbeds, valleys, sand, stony soil, rocky areas, grassland, alt. high in L, alt. lower in EC; Drakensberg Grassland, Sub-Escarpment Grassland, Dry Highveld Grassland, Mesic Highveld Grassland.","Boatwright, JS; et al. 2019. Fabaceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(2): 926-1066. South African National Biodiversity Institute, Pretoria. [CC BY]",French
wfo-0000017475,"Distribution: République Sud-Africaine et Lésotho.","Boulos, L. 1974. Révision systématique du genre Sonchus L. sl. Bot. Not. 127: 402. [All rights reserved]",French
wfo-0000018215,"Morphology: Cette efpèce est encore plus belle que la précédente, & quoiqu’elle ait avec elle beaucoup de rapports, elle en est suffisamment distinguée. Satige est persistante, rameuse, droite, feuillée, cotonneuse & blanchâtre dans sa partie superieure, & haute de trois à quatre pieds. Ses feuilles ressemblent un peu à celles de la Cinéraire maritime: elles sont profondement pinnatifides, blanchâtres, cotonneuses, & remarquables par leurs découpures oblongues, étroites, distantes, sinuées, presque crêpues, & point bordées de dents rudes comme celles de l’espèce ci defsus, dont ells different d’ailieurs entierement par leur forme. Les fleurs sont grandes, sort belles, de couleur jaune, & ont le dessous de leur couronne strié de pourpre. Cette plante croit naturellement en Afrique; on la cultive au Jardin du Roi. ( v. v. ) La variete ? n’eft presque point cotonneuse, & a ses feuilles verdâtres, un peu moins finement découpees, presque crêpues, & moins douces au toucher. Ses fleurs ont leurs demi-fleurons blancs intérieurement, & d’un pourpre violet par dessous.","Lamarck, JBAPdeM de. 1783. Encyclopedie methodique, Vol. 1. Panckouke, Liège. [All rights reserved]",French
wfo-0000035796,"Habitat: Sonchus maritimus croît dans des stations humides, sur les sables maritimes près de la mer, ainsi qu'au Sahara, dans les oasis, o— l'eau est abondante, et dans les marécages, en mélange avec les plantes qui caractérisent ce milieu (Juncus, Typha, Cyperus laevigatus, etc.).
Distribution: Portugal, Espagne, Iles Baléares, Iles Canaries, France, Corse, Italie, Sicile, Sardaigne, Yougoslavie, Albanie, Grèce, Crète, Turquie, Syrie, Palestine, Jordanie, Irak, Arabie Saoudite, Iran, Afghanistan, Pakistan, U.R.S.S., Maroc, Algérie, Tunisie, Libye, gypte, République Sud-Africaine, Sud-Ouest Africain et Australie.","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",French
wfo-0000044509,"Morphology: Plante annuelle, bisannuelle ou vivace, 10-80 cm de hauteur, herbacée, partie basale ligneuse chez les bisannuelles et les vivaces; fortement ramifiée, sauf quelquefois chez les annuelles; capitules blancs tomenteux … leur base, rarement glabres, ou pourvus de poils glanduleux. Racines pivotantes, ramifiées. Collet ramifié, rarement simple, Iigneux chez les plantes bisannuelles et vivaces. Tige tendre, sauf … la base, très ramifiée chez les plantes vivaces, non ou peu ramifiée chez les annuelles, cylindrique, quelquefois faiblement angulée, glabre, rarement poilue-glanduleuse vers le sommet. Feuilles du collet c. 5 x 2 cm, glabres, lyrées, lobes peu nombreux, bases auriculées. Feuilles caulinaires 3-20 x 1.2-8.0 cm, glabres, les juvéniles blanches tomenteuses, pinnatiséquées; lobes de formes variables, donc triangulaires, ovales, elliptiques, hastées, linéaires, linéaires-lancéolées, etc., mais toujours resserrés vers la nervure médiane de la feuille; base auriculée; marges entières ou denticulées. Pédoncule 5-80 x 1-2 mm, tomenteux au-dessous du capitule. Capitules généralement nombreux, ± cylindriques, 10 x 5 mm avant l'anthèse, 15 x 25-40 mm pendant l'anthèse; les fermés après l'anthèse 10 x 6 mm, coniques. Nombre de fleurs 80-120 par capitule. cailles de l'involucre ±30 par capitule; les externes 10, 1.5-4.0 x 1.0-1.5 mm, tomenteuse ou poilue glanduleuse, sommet obtus, marges entières; les intermédiaires 11, 10-12 x 1.5-2 mm, sommet obtus, cilié, moins tomenteuses ou poilues que les externes; les internes 9, 10-12 x 1.5-2.0 mm, sommet obtus, cilié. Corolle jaune, devenant jaune-orangé après l'anthèse, 14-16 mm. Ligule 8-9 x 1.5-2.5 mm. Tube de la corolle 6-7 mm. Anthères 3.5-4.5 x 0.5 mm. Akènes: le rang extérieur jaune-verdâtre ou brun-verdâtre, les intérieurs brunâtres; tous étroitement oblancéolés, faiblement comprimés, non-ailés, 2.5-3.3 x 1.2 mm, … 1-3 c'tes principales, tuberculés, rugueux. Aigrette 6-8 mm, ± persistante.
Habitat: Sonchus tenerrimus est une espèce croissant dans les régions tempérées humides, dans les champs négligés, sur les sables maritimes, les vieux murs et ruines. Quelquefois, dans les oasis, on le rencontre sur les palmiers sur lesquels la plante est protégée par l'ombre des couronnes.
Distribution: Iles d'Açores, Portugal, Espagne, Gibraltar, Iles Baléares, Iles Canaries, France, Corse, Monaco, Italie, Sicile, Sardaigne, Ile de Malte, Grèce, Crète, Yougoslavie, Roumanie, Turquie, Chypre, Liban, Syrie, Palestine, Jordanie, Irak, Iran, Pakistan, U.R.S.S. (Arménie), Maroc, Algérie, Tunisie, Libye, gypte, thiopie, Soudan, Ile de Ste Hélène, République Sud-Africaine, Mexique (Ile de Cedros), tats-Unis (Californie), Australie (Sud) et Nouvelle Zélande.","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",French
wfo-0000044639,"Habitat: Sonchus dregeanus croît dans les prairies, sur les bords des chemins, des cours d'eau et des rivières, ou … l'ombre de rochers, etc.
Distribution: Rhodésie, République Sud-Africaine, Lésotho et Madagascar.","Boulos, L. 1974. Révision systématique du genre Sonchus L. sl. Bot. Not. 127: 402. [All rights reserved]",French
wfo-0000060758,"Morphology: Plante vivace, herbacée, 30-75 cm de hauteur, glabre sauf … la base de capitules, capitules volumineux surtout après leur maturité. Collet ligneux, simple, ±5 mm diam., plein. Tige herbacée, cylindrique, simple, creuse, 3-8 mm diam., glabre, … cannelures étroites. Feuilles du collet 4-7 x 2-3 cm, ± elliptiques, pennipartites, lobes ± triangulaires, marges denticulées, sommet aigu, base engaînante. Feuilles du collet 5-15 x 2.5-8.0 cm, ovales, elliptiques ou ± triangulaires, pennipartites … pinnatiséquées; lobes ±triangulaires … étroitement rectangulaires, 1-4 x 0.5-1.2 cm, lobe terminal souvent plus long et plus large, sommet aigu ou rarement obtus, marges denticulées, assez piquantes, base engaînante et auriculée … oreillettes ±triangulaires et aigues; nervure médiane pro-éminante sur la face inférieure. Pédoncule 2-20 mm, légèrement tomenteux vers le capitule, … ±2 bractées étroitement triangulaires, 3-5 x 1.5 mm. Capitules ±20 x 12 mm avant l'anthèse, volumineux après la maturité (±30 mm diam.), blanc-tomenteux … la base. Nombre de fleurs ±140 par capitule. cailles de l'involucre ±40 … sommet obtus et cilié; les externes 16, coriaces, 6-13 x 2-4 mm; les intermédiaires 13, coriaces, 16-20 x 2.5-3.5 mm; les internes 11, 17-20 x 2 mm. Corolle jaune, 14-17 mm. Ligule 4-6 mm. Tube de la corolle 9-12 mm. Anthères 2.25 mm. Akènes 4.5-5.5 x ±1 mm, crèmes-brunâtres … brunâtres, comprimés, étroitement elliptiques … étroitement obovales, légèrement ridés, … 5 c'tes sur chaque face, la médiane la plus épaisse, marges étroites, assez épaisses. Aigrette ±12 mm, persistante.
Diagnostic: Sonchus wilmsii est caractérisé par ses feuilles minces et séquées, … marges denticulées et par ses capitules volumineux, blancs-tomenteux … la base et par le nombre assez élevé d'écailles d'involucre (±40).
Habitat: Sonchus wilmsii croît dans les pelouses, sur les bords des canaux etc.
Distribution: République Sud-Africaine, Lésotho et Mozambique.","Boulos, L. 1974. Révision systématique du genre Sonchus L. sl. Bot. Not. 127: 402. [All rights reserved]",French
wfo-0000069236,"Morphology: Plante annuelle ou bisannuelle; herbacée, 10-140 cm de hauteur, généralement ramifiée, glabre, sauf les capitules qui sont quelquefois tomenteux … la base ou munis de poils glanduleux. Racin pivotantes, 10-35 x 0.5-1.5 cm, ligneuses vers le collet chez les bisannuelles. Collet simple ou ramifié, cylindrique. Tige tendre, cylindrique ou faiblement anguleuse, creuse. Feuilles du collet plus petites que les caulinaires, non auriculées, et possédant des pétioles étroitement ailés. Feuilles caulinaires 8-35 x 4-17 cm, très variables, donc entières, pinnatifides, pennipartite, pinnatiséquées, lyrées, etc.; amplexicaules … oreillettes acuminées; lobes entiers, dentés ou serrés-épineux. Pédoncule 0.5-7.0 cm, … une bractée, glabre ou muni de poils glanduleux. Capitules généralement nombreux, 10 x 6 mm, les ouvertes 20-30 mm diam. Nombre de fleurs par capitule 80-230. cailles de l'involucre 27-35 par capitule; les externes 11-14, 2.5-7.5 x 1-2.5 mm, sommet obtus, glabre ou pourvu au niveau de la nervure médiane de poils glanduleux; les intermédiaires 8-11, étroitement triangulaires, 8-12 x 2-3 mm, nervure médiane souvent poilue glanduleuse; les internes 8-12, … sommet obtus, 9-12 x 1-2 mm. Corolle jaunâtre ou jaune-citron, ligules extérieures pourpres au-dessous, ±12 mm. Ligule 6 x 1.5 mm. Tube de la corolle ± de la même longueur que la ligule. Anthères jaunâtres, brunâtres au sommet. Akènes: le rang extérieur jaune-verdâtre ou jaune-brunâtre, rugueux; les intérieures plus foncés, moins rugueux; tous oblancéolés, comprimés, non-ailés, 2.5-3.75 x 0.75-1.0 mm, … 2-4 c'tes principales, irrégulièrement rugueuses. Aigrette deux fois plus longue que l'akène, ± persistante.
Habitat: Sonchus oleraceus est une espèce très plastique du point de vue écologique. Dans les régions arides, o— la pluie est très faible, il est chétif et sa période de végétation est courte. Son habitat normal est les jardins, les champs cultivés et, surtout, les régions humides et subhumides. Au milieu du Sahara, on ne le rencontre que dans les champs irrigués des oasis. Cette espèce n'a pas d'exigences du point de vue édaphique; on la rencontre sur tous les types de sols. Elle monte aussi … des altitudes très élevées.
Distribution: Sonchus oleraceus est une mauvaise herbe¯ ????cosmopolite. Elle existe en Europe, Afrique, Asie et Australie. Elle est également bien distribuée lans le nouveau monde et y fut très probablement introduite, mélangée aux graines importées de l'Europe. Une fois introduite, elle s'est bien établie et demeure aujourd'hui une des mauvaises herbes la plus répandue dans les deux continents Américains. Nous citons ici quelques exemples pour illustrer l'extrême plasticité écologique et l'immense distribution géographique de cette espèce: Groenland, Siberie (Jenisei), Nepal (9000 pieds), Tibet, Corée, Ta‹wan, ????Nouvelle Zélande, Iles Atlantiques, Pacifiques et Antarctiques.","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",French
wfo-0000083410,"Morphology: Plante annuelle, très polymorphe, 10-120 cm de hauteur, généralement ramifiée et avec plusieurs capitules; glabre, ou quelquefois poilue-glanduleuse sur les parties supérieures. Racines pivotantes, ramifiées. Collet simple ou ramifié, cylindrique. Tige 2-10 mm diam., souvent anguleuse dans sa partie inférieure. Feuilles du collet 5-12 x 2-4 cm, moins séquées que les caulinaires. Feuilles caulinaires 5-25 x 3-8 cm, très variables, entières … pinnatiséquées, avec toutes les formes intermédiaires possibles, bases auriculées; lobes ± triangulaires, aigus, marges denticulées, piquantes. Pédoncule 0.5-5 cm, … une bractée. Capitules nombreux, 12 x 8 mm, plus larges après l'anthèse. Nombre des fleurs 80-300 par capitule. cailles de l'involucre 35-45 (±40) par capitule; les externes 13, 2-6 x 1-2 mm, souvent poilues-glanduleuses; les intermédiaires 12, 10-13 x 0.8-1.2 mm; les internes 15, 8-11 x 0.8-1.25 mm. Corolle ±10 mm, jaune-citron, devenant jaune-orangé après l'anthèse. Ligule 4 x 1 mm. Tube de la corolle ±6 mm. Anthères 3 x 0.5 mm. Akènes variables: brunâtres … crème-jaunâtres, avec une série de couleurs intermédiaires, fortement comprimés, ± elliptiques, 2-3 x 1 mm, pourvus de 3 c'tes caractéristiques sur chaque surface, marges largement ailées, souvent légèrement ciliées-recourbées vers la base, surtout chez les akènes extérieures. Aigrette ± caduque, ±3 fois plus longue que l'akène.
Habitat: Sonchus asper est une <<mauvaise herbe>> commune dans les champs cultivés, les jardins, sur les routes et dans les terrains négligés. Elle pousse principalement dans les milieux humides. Floraison et frutification presque durant l'année.
Distribution: La distribution de S. asper suit ± celle de S. oleraceus. D'après nos observations, S. asper croît mieux dans les régions tempérées que dans les régions chaudes, et dans les milieux humides que dans les milieux secs. En gypte par exemple, S. asper est connu du delta du Nil, pas de la vallée sud du delta, région plus chaude et moins humide. En Europe, o— les deux espèces existent, la limite de S. asper est plus nordique que celle de S. oleraceus.","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",French
wfo-0000352823,"Morphology: Planted assez gréle, dans toutes sos parties sauf sur le dos des glumes légèrement hispides. Feuilles an nombre de 4 à 12, de 10 à 30 cm. de long et 1.5-3 mm. de large. Inflorescence de 15-35 cm. de long, constituée par une série de capitules plus ou moins pédicellés formant une panicule plus ou moins ramifiée. Bractées de la base de I'inflorescence plus ou moins engainantes; bractées de la base des capitules ovales-aiguës, à bords scarieux, aiguës au sommet, carénées sur le dos et ciliées sur la carène; épillets au nombre de 3 à 8, de 8-10 mm. de long, entourés par la bractée externe qui est aussi longue, plus courte, ou plus longue que l’épillet. Glumes de même forme que les bractées et ciliées sur le dos, entourant deux fleurs. Glumelles fructifères naviculiformes, glabres même sur le dos, dépassant l’ovaire. Filaments hypogynes au nombre do 6, représentant les pétales et les sépales, linéaires, rigides, scabres, subégaux, aigus. Étamines au nombre de trois, à filets plus longs que les filaments hypogynes, à anthère allongée, un peu plus courte que le filet. Ovaire de 1.5 mm. environ de long, elliptique, trigone, glabre à la base, courtement pubéruleux au sommet. Style cylindrique, environ aussi long que l'ovaire, glabre, terminé par 3 stigmates aussi longs que le style, étalés.
Distribution: Afrique australe: Région austro-occidentale - Worcester division: Vallée de la Breede River à Bains-Kloof, 800 pieds. Mitchels-Pass, 1000 pieds. Région austro-orientale (limite extréme). - Somerset division: Bosch-Berg, 4500 pieds.","Wildeman, ÉAJD. 1904. Plantae novae vel minus cognitae ex herbario horti thenensis, Vol. 1. Monnom, Bruxelles. [https://www.biodiversitylibrary.org/bibliography/115951#/summary] [All rights reserved]",French
