"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000488526","Planta herbacea hasta 40-50 cm; hojas lineares, costilladas; petalo superior de 4.5-5 mm, con lobulo de 1.5-2 mm; cresta con mas de 12 lacinias; pubescencia de la semilla de pelos largos, superando la base de la semilla en 0.75 mm.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488804","Pedicelos de 1.5-2.5 mm; alas 6-7 x 3-3.5 mm.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000477319","Hierbas tuberoso-rizomatosas, emitiendo tallos aereos anuales; alas 4-5 x 2.5 mm; lobulos apicales de la capsula redondeados.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000484265","Hojas suborbiculares a ovadas, cordadas en la base; alas suborbiculares de 5-6 mm de diametro.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000484332","Hojas de menor tamano hacia la base del tallo, las superiores elipticas a lanceoladas, las inferiores ± suborbiculares; racimos compactos de 1.5-2(5) cm; pedicelos hasta 1 mm; alas 3-5 x 2-2.5 mm.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488498","Pedicelos de 5-6 mm, pubescentes; capsula 3.5-4.5 mm de diametro, estrechamente alada, ala de 0.25 mm de anchura; semillas 2.5 x 1.25 mm con apendices membranaceos de 1-1.35 mm.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488719","Hojas ± isomorfas; alas 3.25-3.5 x 2.5 mm.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488809","Hierbas ± crasiusculas; flores subcilindricas, crasas; lobulo impar de la caruncula excepcio- nalmente largo, alcanzando la base de la semilla.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100339","Hierbas pauciramificadas, 15-25 cm; hojas 8-20 x 1.5-2 mm, linear lanceoladas, agudas, racimos 4-12 flores.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100369","Hierbas decumbentes con tallos largos, 40-50 cm; bracteas y bracteolas filiformes, largas, (2)5-5.5(6) mm; flores largamente pediceladas, pedicelos de 5-6 mm.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100423","Plantas crispado pubescentes; hojas estrechamente eliptico lanceoladas a elipticas; racimoscompactos, capiluliformes, hasta 5 cm; capsula estrechamente alada, ala de 0.1 mm de anchura.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100425","Tallos crispado pubescentes, ± flexuosos y decumbentes; alas ciliadas; capsula biapiculada.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100367","Hojas estrechas, 0.5-1.5 mm de anchura, lineares a linear lanceoladas, mucronadas y recurvadas en el apice; alas 4.5-5 x 2-3 mm, obovado elipticas; con una conspicua franja media verdosa; capsula 4.5-5 x 2.5-3 mm.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100393","Hierba de 18-20 cm; alas 6-7 x 3-3.5 mm; capsula de 6 mm de diametro, ampliamente alada, ala de 0.75-1 mm de anchura; apendices membranaceos de la caruncula alcanzando la mitad de la semilla.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100402","Hojas ± del mismo tamano y forma, lanceoladas a eliptico lanceoladas; racimos laxos, 5-15 cm; pedicelos de 3-3.5 mm; alas 6.5-7 x 3.5-4 mm.","Diagnostic","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
