"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000000173","From Baziya Mt. and Ntywenka near Tsolo in the Transkei through Natal to the Transvaal Drakensberg and neighbouring highlands of Swaziland (fide Hilliard 1977: 590). The few specimens collected in the Transvaal are from Volksrust, Iswepe, and Belfast (Lydenburg).","Distribution","8FE81C00-59F7-4381-A554-F4957508D1B6","English","8FE81C00-59F7-4381-A554-F4957508D1B6","Hansen, HV. 1985. A taxonomic revision of the genus Gerbera (Compositae, Mutisieae) sections Gerbera, Parva, Piloselloides (in Africa), and Lasiopus. Opera Bot. 78: 5-36. [All rights reserved]",""
"wfo-0000000181","Confined to the Cape region, where it occurs most frequently at lower levels. It extends in the north into the Worcester district and in the east into the Swellendam district.","Distribution","E08D0DFF-5999-4617-A93F-9868B64E8EE0","English","E08D0DFF-5999-4617-A93F-9868B64E8EE0","Norlindh, NT. 1943. Studies in the Calenduleae: 1. Monograph of the genera Dimorphotheca, Castalis, Osteospermum, Gibbaria & Chrysanthemoides. C.W.K. Gleerup, Lund. [All rights reserved]",""
"wfo-0000000181","Pakhuis Mtns to Tulbagh and Riviersonderend Mtns.","Distribution","9BA6E850-7A7D-4C23-B982-D6BD8B942DE2","English","9BA6E850-7A7D-4C23-B982-D6BD8B942DE2","Manning, JC; Goldblatt, P. 2012. Asteraceae: Osteospermum L. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 402-406. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000000188","E. ursinoides is confined to a small area west of Port Elizabeth.","Distribution","EF05C6D6-15EA-435C-8930-9CF3FF2B2103","English","EF05C6D6-15EA-435C-8930-9CF3FF2B2103","Nordenstam, RB. 1968. The genus Euryops I. Opera Bot. 20: 7-409. [All rights reserved]",""
"wfo-0000000334","Stanford to Port Elizabeth.","Distribution","4A08E57E-EA78-4807-AE43-8B69B277FFDE","English","4A08E57E-EA78-4807-AE43-8B69B277FFDE","Manning, JC; Goldblatt, P. 2012. Asteraceae: Athanasia L. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 357-359. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000000188","Port Elizabeth and Uitenhage.","Distribution","43F777B1-85C5-4BA8-A51D-0DA3C9837836","English","43F777B1-85C5-4BA8-A51D-0DA3C9837836","Cron, GV; et al. 2019. Asteraceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(1): 423-682. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000000188","Van Staden's Mtns.","Distribution","C6D0C773-EDBF-4197-B9D2-8ACDFC3D61C4","English","C6D0C773-EDBF-4197-B9D2-8ACDFC3D61C4","Manning, JC; Goldblatt, P. 2012. Asteraceae: Euryops (Cass.) Cass. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 372-375. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000000189","Bokkeveld Mtns to Worcester, and Swartberg.","Distribution","83F755B9-D60C-478C-97A2-8E7D6A270D17","English","83F755B9-D60C-478C-97A2-8E7D6A270D17","Manning, JC; Goldblatt, P. 2012. Asteraceae: Ursinia Gaertn. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 428-430. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000000337","Ranges from Zimbabwe to the Transvaal, where it is recorded from the E. highlands, the Waterberg, and the Highveld, to KwaZulu-Natal, where it is commoner along the Drakensberg than in the coastal districts, the mountainous NE. corner of the Free State, Lesotho, and the E. Cape, both in the mountains and along the coast, as far west as Uitenhage and Graaff-Reinet. Also recorded from Huila in Angola and the Okavango Valley in NE. Namibia.","Distribution","0ACBAD9C-2A8A-4FA9-9D82-A68118E9B0F4","English","0ACBAD9C-2A8A-4FA9-9D82-A68118E9B0F4","Hilliard, OM. 1983. Gnaphaliinae (first part): Facelis - Edmondia, Fl. S. Africa 33(7,2): 1-317. Botanical Research Institute, Department Agriculture, Pretoria. [http://www.biodiversitylibrary.org/item/209547#page/5/mode/1up] [CC BY]","http://www.biodiversitylibrary.org/item/209547#page/5/mode/1up"
"wfo-0000000361","Great Winterhoek Mtns to Grahamstown.","Distribution","B44E25B1-7090-435D-80C1-E351AE110E17","English","B44E25B1-7090-435D-80C1-E351AE110E17","Manning, JC; Goldblatt, P. 2012. Asteraceae: Hymenolepsis Cass. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 390-390. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000000361","Restricted to Albany area.","Distribution","43F777B1-85C5-4BA8-A51D-0DA3C9837836","English","43F777B1-85C5-4BA8-A51D-0DA3C9837836","Cron, GV; et al. 2019. Asteraceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(1): 423-682. South African National Biodiversity Institute, Pretoria. [CC BY]",""
