"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000017475","République Sud-Africaine et Lésotho.","Distribution","729C7833-1642-48BA-B75D-BD13AA9E805E","French","729C7833-1642-48BA-B75D-BD13AA9E805E","Boulos, L. 1974. Révision systématique du genre Sonchus L. sl. Bot. Not. 127: 402. [All rights reserved]",""
"wfo-0000035796","Portugal, Espagne, Iles Baléares, Iles Canaries, France, Corse, Italie, Sicile, Sardaigne, Yougoslavie, Albanie, Grèce, Crète, Turquie, Syrie, Palestine, Jordanie, Irak, Arabie Saoudite, Iran, Afghanistan, Pakistan, U.R.S.S., Maroc, Algérie, Tunisie, Libye, gypte, République Sud-Africaine, Sud-Ouest Africain et Australie.","Distribution","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000044509","Iles d'Açores, Portugal, Espagne, Gibraltar, Iles Baléares, Iles Canaries, France, Corse, Monaco, Italie, Sicile, Sardaigne, Ile de Malte, Grèce, Crète, Yougoslavie, Roumanie, Turquie, Chypre, Liban, Syrie, Palestine, Jordanie, Irak, Iran, Pakistan, U.R.S.S. (Arménie), Maroc, Algérie, Tunisie, Libye, gypte, thiopie, Soudan, Ile de Ste Hélène, République Sud-Africaine, Mexique (Ile de Cedros), tats-Unis (Californie), Australie (Sud) et Nouvelle Zélande.","Distribution","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000044639","Rhodésie, République Sud-Africaine, Lésotho et Madagascar.","Distribution","729C7833-1642-48BA-B75D-BD13AA9E805E","French","729C7833-1642-48BA-B75D-BD13AA9E805E","Boulos, L. 1974. Révision systématique du genre Sonchus L. sl. Bot. Not. 127: 402. [All rights reserved]",""
"wfo-0000060758","République Sud-Africaine, Lésotho et Mozambique.","Distribution","729C7833-1642-48BA-B75D-BD13AA9E805E","French","729C7833-1642-48BA-B75D-BD13AA9E805E","Boulos, L. 1974. Révision systématique du genre Sonchus L. sl. Bot. Not. 127: 402. [All rights reserved]",""
"wfo-0000069236","Sonchus oleraceus est une mauvaise herbe¯ ????cosmopolite. Elle existe en Europe, Afrique, Asie et Australie. Elle est également bien distribuée lans le nouveau monde et y fut très probablement introduite, mélangée aux graines importées de l'Europe. Une fois introduite, elle s'est bien établie et demeure aujourd'hui une des mauvaises herbes la plus répandue dans les deux continents Américains. Nous citons ici quelques exemples pour illustrer l'extrême plasticité écologique et l'immense distribution géographique de cette espèce: Groenland, Siberie (Jenisei), Nepal (9000 pieds), Tibet, Corée, Ta‹wan, ????Nouvelle Zélande, Iles Atlantiques, Pacifiques et Antarctiques.","Distribution","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000083410","La distribution de S. asper suit ± celle de S. oleraceus. D'après nos observations, S. asper croît mieux dans les régions tempérées que dans les régions chaudes, et dans les milieux humides que dans les milieux secs. En gypte par exemple, S. asper est connu du delta du Nil, pas de la vallée sud du delta, région plus chaude et moins humide. En Europe, o— les deux espèces existent, la limite de S. asper est plus nordique que celle de S. oleraceus.","Distribution","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000352823","Afrique australe: Région austro-occidentale - Worcester division: Vallée de la Breede River à Bains-Kloof, 800 pieds. Mitchels-Pass, 1000 pieds. Région austro-orientale (limite extréme). - Somerset division: Bosch-Berg, 4500 pieds.","Distribution","0F52F798-9F62-4335-B203-F36FAD6E31ED","French","0F52F798-9F62-4335-B203-F36FAD6E31ED","Wildeman, ÉAJD. 1904. Plantae novae vel minus cognitae ex herbario horti thenensis, Vol. 1. Monnom, Bruxelles. [https://www.biodiversitylibrary.org/bibliography/115951#/summary] [All rights reserved]","https://www.biodiversitylibrary.org/bibliography/115951#/summary"
"wfo-0000418861","Madagascaria","Distribution","D087F3FA-A1AE-4AC3-BEA0-A5A2599514E5","French","D087F3FA-A1AE-4AC3-BEA0-A5A2599514E5","Lamarck, JBAPdeM de. 1791. Tableau encyclopédique et méthodique des trois règnes de la nature. Botanique, Vol. 1. Pancoucke, Paris. [https://www.biodiversitylibrary.org/item/6086#page/1/mode/1up] [All rights reserved]","https://www.biodiversitylibrary.org/item/6086#page/1/mode/1up"
"wfo-0000512229","Hereroland, Gam-Korchas.","Distribution","0EB823AC-A870-4824-AC62-800F6799A6E6","French","0EB823AC-A870-4824-AC62-800F6799A6E6","Hochreutiner, BPG. 1901. Malvaceae. Bull. Herb. Boissier 2: 1001-1005. [https://www.biodiversitylibrary.org/item/105265#page/1084/mode/1up] [All rights reserved]","https://www.biodiversitylibrary.org/item/105265#page/1084/mode/1up"
"wfo-0001065381","Ad littora torrentium Mayottae, loco dictc Moussa-péré v. M’sapéré, teste Bovinio.","Distribution","E5C82A14-689D-4029-96AB-7F36B429B872","French","E5C82A14-689D-4029-96AB-7F36B429B872","Tulasne, LR. 1857. Florae Madagascariensis fragmenta scripsit collectave digessit. Ann. Sci. Nat. 8: 44-163. [https://www.biodiversitylibrary.org/item/129817#page/48/mode/1up] [All rights reserved]","https://www.biodiversitylibrary.org/item/129817#page/48/mode/1up"
"wfo-0001145364","Près de Port Natal (Drège), Howison’s Poort.","Distribution","6A97F861-7242-4936-A77D-484C6342C9DB","French","6A97F861-7242-4936-A77D-484C6342C9DB","Planchon, JE. 1883. Monographie des Ampélidées vraies. In: AP de Candolle (ed.), Monographiae phanerogamarum prodromi nunc continuato, nunc revisio auctoribus Alphonso et Casimir de Candolle aliisque botanicis ultra memoratis, Monogr. Phan. 5: 305-610. Masson, Paris. [https://doi.org/10.5962/bhl.title.45961] [All rights reserved]","https://doi.org/10.5962/bhl.title.45961"
"wfo-0001170317","La Réunion.","Distribution","B15DCF4F-093B-4770-B0C8-C4BC2F42BC8E","French","B15DCF4F-093B-4770-B0C8-C4BC2F42BC8E","Bescherelle, E. 1880. Florule bryologique de la Réunion et des autres iles Austro-Africaines de l'océan Indien. Ann. Sci. Nat. 10: 233-332. [All rights reserved]",""
