"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000000975","F. deserti ist im Nordwesten der Kapprovinz von Upington bis Namaqualand verbreitet.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000001190","Das Verbreitungsareal von P. pyrifolia liegt im Nordosten der Kap-Provinz mit Ausstrahlungen nach Natal und Lesotho.","Distribution","570F125F-CAC5-4C20-AC0D-E25AAF15369F","German","570F125F-CAC5-4C20-AC0D-E25AAF15369F","Kroner, G. 1980. Systematische studien im umkreis von Athrixia Ker-Gawler (Asteraceae). Mitt. Bot. Staatssamml. München 16: 1-268. [http://www.biodiversitylibrary.org/item/52055#page/17/mode/1up] [All rights reserved]","http://www.biodiversitylibrary.org/item/52055#page/17/mode/1up"
"wfo-0000002376","Felicia namaquana hat ihren Verbreitungsschwerpunkt im Namaqualand, strahlt dann nach Südwestafrika im Norden, in den zentralen Teil ostwärts bis Kuruman und Britstown und nach Südosten vereinzelt bis Ceres und Laingsburg aus.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000003066","F. ovata hat eine weite allerdings lockere Verbreitung durch die zentralen Karroogebiete von Calvinia bis Aliwal North, gelangt weder im Westen noch im Osten an die Küste, die nur im Süden zwischen Riversdale und Humansdorp erreicht wird.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000004639","A. epaleaceus ist locker zu beiden Seiten des unteren Oranje verbreitet mit östlichen Ausstrahlungen bis in die Gegend um Kenhardt und gehört damit zum ""Gariep-Element"" im weiteren Sinne. Der östliche Beleg entstammt einer heterogenen Aufsammlung mit A. tridactylus subsp. arenarius (HUTCHINSON 949), die sowohl in Kew als auch in Pretoria je ein Exemplar von A. epaleaceus enthält. Der Fundort wird daher als gesichert angenommen.","Distribution","269E3D99-16F7-487E-A5E5-701C622F96D4","German","269E3D99-16F7-487E-A5E5-701C622F96D4","Rommel, A. 1977. Die Gattung Amellus L. (Asteraceae-astereae). Systematischer Teil. Mitt. Bot. Staatssamml. München 13: 579-728. [All rights reserved]",""
"wfo-0000005718","F. bergeriana ist locker vom Namaqualand bis zur Kaphalbinsel verbreitet.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000006827","F. hirsuta ist vom südlichen Südwestafrika nach Süden bis Ceres, und Oudtshoorn, nach Osten im Landesinneren locker bis zu einer Linie Colesberg-Graaf Reinet-Steytlerville verbreitet. Mit einem Fundort wird der Südwesten des Orange Free State erreicht.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000006928","F. whitehillensis findet sich in den Karroogebieten von Laingsburg und Ceres, zwischen Calvinia und Clanwilliam und im Namaqualand, sowie in der Gegend um Prince Albert.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000007262","Felicia westae besitzt ein enges Verbreitungsgebiet hauptsächlich in der Gegend von Humansdorp.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000008890","F. comptonii ist ein Endemit der Langeberge.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000009660","Felicia denticulata ist auf den Südwestteil des Capgebietes beschränkt und kommt vereinzelt im Landesinneren von Clanwilliam bis Swellendam vor.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000010125","In Angola ist die Art auf einen schmalen Küstenstreifen von Mossamedes beschränkt, im Osten zieht sie sich von Natal über Transvaal bis nach Rhodesia. Da sie auch in Mozambique vorkommt, kann das eigenartige Teilareal in Angola vielleicht durch Verschleppung zwischen den beiden portugiesischen Kolonien erklärt werden. Dieser Verbreitungstyp ist jedenfalls sehr ungewöhnlich.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000014035","Microglossa caffrorum kommt nur in zwei kleinen, getrennten Arealen in den Kouga Mts und um Grahamstown vor.","Distribution","C80D01C1-E563-42F9-BB9C-573A75D41DC7","German","C80D01C1-E563-42F9-BB9C-573A75D41DC7","Grau, HRJ. 1976. Eine Neue Art der Gattung Microglossa DC. Mitt. Bot. Staatssamml. München 12: 399-402. [All rights reserved]",""
"wfo-0000014264","C. tridentata ist eine Art der zentralen Karroo mit Beziehungen zur folgenden Art C. valida.","Distribution","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","German","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","Bayer, E. 1981. Revision der Gattung Chrysocoma L. (Asteraceae - Astereae). Mitt. Bot. Staatssamml. München 17: 259-392. [All rights reserved]",""
"wfo-0000015266","F. serrata besitzt ihr Zentrum in der nordwestlichen Kapregion mit vereinzelten Funden im Norden und Osten von diesem Gebiet.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000015713","C. sparsifolia ist eine locker von Namaqualand bis Worcester verbreitete Art.","Distribution","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","German","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","Bayer, E. 1981. Revision der Gattung Chrysocoma L. (Asteraceae - Astereae). Mitt. Bot. Staatssamml. München 17: 259-392. [All rights reserved]",""
"wfo-0000014374","F. cymbalarioides besitzt auf der Kaphalbinsel ihr Zentrum. Einige lokale Fundorte befinden sich in Worcester, Paarl und Robertson.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
