"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000477319","Sureste de Africa tropical. Zambia, Zimbabwe, Botswana, Angola, Namibia y Sudafrica (Bechuanalandia).","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488693","Sur de Africa. Sudafrica; zona noreste de la provincia de El Cabo, colindante con Transval (Makefing).","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000484265","Sudafrica (provincia de El Cabo). Solo se conoce de la localidad tipica.","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000484332","Sudafrica (Orange y El Cabo). Como no se conoce la distribucion y localidad tlpica[226] citamos algunos ejemplares para testimoniar la presencia de esta especie en las provin- cias sudafricanas.","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488498","Endemismo de Sudafrica: Transval, Natal, Transkei y provincia de El Cabo.","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488526","Sudafrica, provincia de El Cabo, Pequeno Karru.","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488719","Desierto del Kalahari y aledanos. Zimbabwe (oeste), Angola (?)[248] y Sudafrica (norte de la provincia de El Cabo).","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488804","Sudafrica. Solo se conoce de la localidad tipica.","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488809","Sudafrica (provincia de El Cabo).","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100358","Sur de Africa. Sudafrica.","Distribution","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
