"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000035796","Sonchus maritimus croît dans des stations humides, sur les sables maritimes près de la mer, ainsi qu'au Sahara, dans les oasis, o— l'eau est abondante, et dans les marécages, en mélange avec les plantes qui caractérisent ce milieu (Juncus, Typha, Cyperus laevigatus, etc.).","Habitat","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000044509","Sonchus tenerrimus est une espèce croissant dans les régions tempérées humides, dans les champs négligés, sur les sables maritimes, les vieux murs et ruines. Quelquefois, dans les oasis, on le rencontre sur les palmiers sur lesquels la plante est protégée par l'ombre des couronnes.","Habitat","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000044639","Sonchus dregeanus croît dans les prairies, sur les bords des chemins, des cours d'eau et des rivières, ou … l'ombre de rochers, etc.","Habitat","729C7833-1642-48BA-B75D-BD13AA9E805E","French","729C7833-1642-48BA-B75D-BD13AA9E805E","Boulos, L. 1974. Révision systématique du genre Sonchus L. sl. Bot. Not. 127: 402. [All rights reserved]",""
"wfo-0000060758","Sonchus wilmsii croît dans les pelouses, sur les bords des canaux etc.","Habitat","729C7833-1642-48BA-B75D-BD13AA9E805E","French","729C7833-1642-48BA-B75D-BD13AA9E805E","Boulos, L. 1974. Révision systématique du genre Sonchus L. sl. Bot. Not. 127: 402. [All rights reserved]",""
"wfo-0000069236","Sonchus oleraceus est une espèce très plastique du point de vue écologique. Dans les régions arides, o— la pluie est très faible, il est chétif et sa période de végétation est courte. Son habitat normal est les jardins, les champs cultivés et, surtout, les régions humides et subhumides. Au milieu du Sahara, on ne le rencontre que dans les champs irrigués des oasis. Cette espèce n'a pas d'exigences du point de vue édaphique; on la rencontre sur tous les types de sols. Elle monte aussi … des altitudes très élevées.","Habitat","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000083410","Sonchus asper est une <<mauvaise herbe>> commune dans les champs cultivés, les jardins, sur les routes et dans les terrains négligés. Elle pousse principalement dans les milieux humides. Floraison et frutification presque durant l'année.","Habitat","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000527014","Cette plante croît sur les rochers, dans le lit des rivières.","Habitat","83D3E1FE-7B78-4880-84FF-D7A59BE1B113","French","83D3E1FE-7B78-4880-84FF-D7A59BE1B113","Poiret, JLM. 1804. Encyclopédie méthodique. Botanique, Vol. 6. Panckouke, Liège. [https://www.biodiversitylibrary.org/page/725521#page/3/mode/1up]","https://www.biodiversitylibrary.org/page/725521#page/3/mode/1up"
"wfo-0001065171","Arbrisseaux en peuplements importants formant transition entre la plage et la forêt littorale.","Habitat","E314BEEE-8ED9-4A9E-B2A4-42CACF3ABAE7","French","E314BEEE-8ED9-4A9E-B2A4-42CACF3ABAE7","Guillaumet, JL. 1978. 188. Goodeniaceae, Fl. Madagasc. 188: 27-32. [© Publications Scientifiques du Muséum National d'Histoire naturelle, Paris] [All rights reserved]",""
"wfo-0001202371","Epiphyte des lisiéres des forêts sempervirentes de montagne et des trouées pratiquées dans celles-ci, sur les arbres de la flore indigène, mais également sur des arbres plantés (Eucalyptus, Acacia...).","Habitat","F2B8ACAF-5839-4888-BB9C-AEEB48AA22F2","French","F2B8ACAF-5839-4888-BB9C-AEEB48AA22F2","Vanden Berghen, C. 1976. Frullaniaceae (Hepaticae) africanae. Bull. Jard. Bot. Belg. 46(1/2): 1-220. [https://www.jstor.org/stable/3667414] [All rights reserved]","https://www.jstor.org/stable/3667414"
"wfo-0001083864","Fourrés xérophiles sur sol rocailleux.","Habitat","7C0ECC41-AB85-4EA2-AA9D-0ADD9A018C92","French","7C0ECC41-AB85-4EA2-AA9D-0ADD9A018C92","Troupin, GMDJ. 1962. Monographie des Menispermaceae africaines. Mém. Acad. Roy. Sci. Outre-Mer, Cl. Sci. Nat. et Méd. (nouv. sér. in-8°) 13(2): 1-312. [All rights reserved]",""
"wfo-0001168728","De 2300 à 4700 m d’alt. sur le continent, à 2000 m à Madagascar. Forêt de montagne, formations à Lobelia et Senecio, à éricacées et formations alpines. Sur rochers ou dans leurs fissures, sur blocs rocheux, sur cendres volcaniques, entre les blocs de lave, sur le sol; rarement sur base de tronc.","Habitat","FB645A51-6BD0-4F74-A328-7D011BF33202","French","FB645A51-6BD0-4F74-A328-7D011BF33202","De Sloover, JLJA. 1987. Note de bryologie africaine XIV. Leptodontium. Bull. Jard. Bot. Belg. 57(3/4): 425-451. [https://www.jstor.org/stable/3668113]","https://www.jstor.org/stable/3668113"
