"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000477319","Estepas; 900-1200 m.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488693","Estepa montanosa oriental de Transval colindante con el area floristica de Kalahari.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000488719","Estepas.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0000721583","Orlas de bosques y bosques riberenos, 900-1600 m.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100339","Zonas con abundantes gramineas.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100742","Bosques caducifolios abiertos y orlas forestales siempre verdes.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100357","Zonas con abundantes gramineas y estepas rocosas de alta montana. Esta especie se distingue facilmente de Polygala bowkem Harv. y Polygala scabra L. porque esta muy ramificada desde la base, con las ramas estriado cuadrangulares.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100358","Zonas con abundantes gramineas.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100364","Orlas forestales y zona montanosas con abundantes gramineas.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100402","Zonas medias y altas de montana con abundantes gramineas.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100405","Terrenos rocosos y zonas con abundantes gramineas.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100420","Orlas forestales y zonas de montana con abundantes gramineas.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
"wfo-0001100423","Zonas montanosas con abundantes gramineas.","Habitat","797E9522-44B2-4FBA-B0D2-102809791529","Spanish","797E9522-44B2-4FBA-B0D2-102809791529","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",""
