"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000018215","Cette efpèce est encore plus belle que la précédente, & quoiqu’elle ait avec elle beaucoup de rapports, elle en est suffisamment distinguée. Satige est persistante, rameuse, droite, feuillée, cotonneuse & blanchâtre dans sa partie superieure, & haute de trois à quatre pieds. Ses feuilles ressemblent un peu à celles de la Cinéraire maritime: elles sont profondement pinnatifides, blanchâtres, cotonneuses, & remarquables par leurs découpures oblongues, étroites, distantes, sinuées, presque crêpues, & point bordées de dents rudes comme celles de l’espèce ci defsus, dont ells different d’ailieurs entierement par leur forme. Les fleurs sont grandes, sort belles, de couleur jaune, & ont le dessous de leur couronne strié de pourpre. Cette plante croit naturellement en Afrique; on la cultive au Jardin du Roi. ( v. v. ) La variete ? n’eft presque point cotonneuse, & a ses feuilles verdâtres, un peu moins finement découpees, presque crêpues, & moins douces au toucher. Ses fleurs ont leurs demi-fleurons blancs intérieurement, & d’un pourpre violet par dessous.","Morphology","897781B7-BB3B-4D5C-8866-2A06983C9E80","French","897781B7-BB3B-4D5C-8866-2A06983C9E80","Lamarck, JBAPdeM de. 1783. Encyclopedie methodique, Vol. 1. Panckouke, Liège. [All rights reserved]",""
"wfo-0000044509","Plante annuelle, bisannuelle ou vivace, 10-80 cm de hauteur, herbacée, partie basale ligneuse chez les bisannuelles et les vivaces; fortement ramifiée, sauf quelquefois chez les annuelles; capitules blancs tomenteux … leur base, rarement glabres, ou pourvus de poils glanduleux. Racines pivotantes, ramifiées. Collet ramifié, rarement simple, Iigneux chez les plantes bisannuelles et vivaces. Tige tendre, sauf … la base, très ramifiée chez les plantes vivaces, non ou peu ramifiée chez les annuelles, cylindrique, quelquefois faiblement angulée, glabre, rarement poilue-glanduleuse vers le sommet. Feuilles du collet c. 5 x 2 cm, glabres, lyrées, lobes peu nombreux, bases auriculées. Feuilles caulinaires 3-20 x 1.2-8.0 cm, glabres, les juvéniles blanches tomenteuses, pinnatiséquées; lobes de formes variables, donc triangulaires, ovales, elliptiques, hastées, linéaires, linéaires-lancéolées, etc., mais toujours resserrés vers la nervure médiane de la feuille; base auriculée; marges entières ou denticulées. Pédoncule 5-80 x 1-2 mm, tomenteux au-dessous du capitule. Capitules généralement nombreux, ± cylindriques, 10 x 5 mm avant l'anthèse, 15 x 25-40 mm pendant l'anthèse; les fermés après l'anthèse 10 x 6 mm, coniques. Nombre de fleurs 80-120 par capitule. cailles de l'involucre ±30 par capitule; les externes 10, 1.5-4.0 x 1.0-1.5 mm, tomenteuse ou poilue glanduleuse, sommet obtus, marges entières; les intermédiaires 11, 10-12 x 1.5-2 mm, sommet obtus, cilié, moins tomenteuses ou poilues que les externes; les internes 9, 10-12 x 1.5-2.0 mm, sommet obtus, cilié. Corolle jaune, devenant jaune-orangé après l'anthèse, 14-16 mm. Ligule 8-9 x 1.5-2.5 mm. Tube de la corolle 6-7 mm. Anthères 3.5-4.5 x 0.5 mm. Akènes: le rang extérieur jaune-verdâtre ou brun-verdâtre, les intérieurs brunâtres; tous étroitement oblancéolés, faiblement comprimés, non-ailés, 2.5-3.3 x 1.2 mm, … 1-3 c'tes principales, tuberculés, rugueux. Aigrette 6-8 mm, ± persistante.","Morphology","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000060758","Plante vivace, herbacée, 30-75 cm de hauteur, glabre sauf … la base de capitules, capitules volumineux surtout après leur maturité. Collet ligneux, simple, ±5 mm diam., plein. Tige herbacée, cylindrique, simple, creuse, 3-8 mm diam., glabre, … cannelures étroites. Feuilles du collet 4-7 x 2-3 cm, ± elliptiques, pennipartites, lobes ± triangulaires, marges denticulées, sommet aigu, base engaînante. Feuilles du collet 5-15 x 2.5-8.0 cm, ovales, elliptiques ou ± triangulaires, pennipartites … pinnatiséquées; lobes ±triangulaires … étroitement rectangulaires, 1-4 x 0.5-1.2 cm, lobe terminal souvent plus long et plus large, sommet aigu ou rarement obtus, marges denticulées, assez piquantes, base engaînante et auriculée … oreillettes ±triangulaires et aigues; nervure médiane pro-éminante sur la face inférieure. Pédoncule 2-20 mm, légèrement tomenteux vers le capitule, … ±2 bractées étroitement triangulaires, 3-5 x 1.5 mm. Capitules ±20 x 12 mm avant l'anthèse, volumineux après la maturité (±30 mm diam.), blanc-tomenteux … la base. Nombre de fleurs ±140 par capitule. cailles de l'involucre ±40 … sommet obtus et cilié; les externes 16, coriaces, 6-13 x 2-4 mm; les intermédiaires 13, coriaces, 16-20 x 2.5-3.5 mm; les internes 11, 17-20 x 2 mm. Corolle jaune, 14-17 mm. Ligule 4-6 mm. Tube de la corolle 9-12 mm. Anthères 2.25 mm. Akènes 4.5-5.5 x ±1 mm, crèmes-brunâtres … brunâtres, comprimés, étroitement elliptiques … étroitement obovales, légèrement ridés, … 5 c'tes sur chaque face, la médiane la plus épaisse, marges étroites, assez épaisses. Aigrette ±12 mm, persistante.","Morphology","729C7833-1642-48BA-B75D-BD13AA9E805E","French","729C7833-1642-48BA-B75D-BD13AA9E805E","Boulos, L. 1974. Révision systématique du genre Sonchus L. sl. Bot. Not. 127: 402. [All rights reserved]",""
"wfo-0000069236","Plante annuelle ou bisannuelle; herbacée, 10-140 cm de hauteur, généralement ramifiée, glabre, sauf les capitules qui sont quelquefois tomenteux … la base ou munis de poils glanduleux. Racin pivotantes, 10-35 x 0.5-1.5 cm, ligneuses vers le collet chez les bisannuelles. Collet simple ou ramifié, cylindrique. Tige tendre, cylindrique ou faiblement anguleuse, creuse. Feuilles du collet plus petites que les caulinaires, non auriculées, et possédant des pétioles étroitement ailés. Feuilles caulinaires 8-35 x 4-17 cm, très variables, donc entières, pinnatifides, pennipartite, pinnatiséquées, lyrées, etc.; amplexicaules … oreillettes acuminées; lobes entiers, dentés ou serrés-épineux. Pédoncule 0.5-7.0 cm, … une bractée, glabre ou muni de poils glanduleux. Capitules généralement nombreux, 10 x 6 mm, les ouvertes 20-30 mm diam. Nombre de fleurs par capitule 80-230. cailles de l'involucre 27-35 par capitule; les externes 11-14, 2.5-7.5 x 1-2.5 mm, sommet obtus, glabre ou pourvu au niveau de la nervure médiane de poils glanduleux; les intermédiaires 8-11, étroitement triangulaires, 8-12 x 2-3 mm, nervure médiane souvent poilue glanduleuse; les internes 8-12, … sommet obtus, 9-12 x 1-2 mm. Corolle jaunâtre ou jaune-citron, ligules extérieures pourpres au-dessous, ±12 mm. Ligule 6 x 1.5 mm. Tube de la corolle ± de la même longueur que la ligule. Anthères jaunâtres, brunâtres au sommet. Akènes: le rang extérieur jaune-verdâtre ou jaune-brunâtre, rugueux; les intérieures plus foncés, moins rugueux; tous oblancéolés, comprimés, non-ailés, 2.5-3.75 x 0.75-1.0 mm, … 2-4 c'tes principales, irrégulièrement rugueuses. Aigrette deux fois plus longue que l'akène, ± persistante.","Morphology","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000083410","Plante annuelle, très polymorphe, 10-120 cm de hauteur, généralement ramifiée et avec plusieurs capitules; glabre, ou quelquefois poilue-glanduleuse sur les parties supérieures. Racines pivotantes, ramifiées. Collet simple ou ramifié, cylindrique. Tige 2-10 mm diam., souvent anguleuse dans sa partie inférieure. Feuilles du collet 5-12 x 2-4 cm, moins séquées que les caulinaires. Feuilles caulinaires 5-25 x 3-8 cm, très variables, entières … pinnatiséquées, avec toutes les formes intermédiaires possibles, bases auriculées; lobes ± triangulaires, aigus, marges denticulées, piquantes. Pédoncule 0.5-5 cm, … une bractée. Capitules nombreux, 12 x 8 mm, plus larges après l'anthèse. Nombre des fleurs 80-300 par capitule. cailles de l'involucre 35-45 (±40) par capitule; les externes 13, 2-6 x 1-2 mm, souvent poilues-glanduleuses; les intermédiaires 12, 10-13 x 0.8-1.2 mm; les internes 15, 8-11 x 0.8-1.25 mm. Corolle ±10 mm, jaune-citron, devenant jaune-orangé après l'anthèse. Ligule 4 x 1 mm. Tube de la corolle ±6 mm. Anthères 3 x 0.5 mm. Akènes variables: brunâtres … crème-jaunâtres, avec une série de couleurs intermédiaires, fortement comprimés, ± elliptiques, 2-3 x 1 mm, pourvus de 3 c'tes caractéristiques sur chaque surface, marges largement ailées, souvent légèrement ciliées-recourbées vers la base, surtout chez les akènes extérieures. Aigrette ± caduque, ±3 fois plus longue que l'akène.","Morphology","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","French","1BEF2581-52D5-4707-B74A-DDC2380BBE4A","Boulos, L. 1973. Révision Systématic du Genre Sonchus L. s.l. Bot. Not. 126: 155-196. [All rights reserved]",""
"wfo-0000352823","Planted assez gréle, dans toutes sos parties sauf sur le dos des glumes légèrement hispides. Feuilles an nombre de 4 à 12, de 10 à 30 cm. de long et 1.5-3 mm. de large. Inflorescence de 15-35 cm. de long, constituée par une série de capitules plus ou moins pédicellés formant une panicule plus ou moins ramifiée. Bractées de la base de I'inflorescence plus ou moins engainantes; bractées de la base des capitules ovales-aiguës, à bords scarieux, aiguës au sommet, carénées sur le dos et ciliées sur la carène; épillets au nombre de 3 à 8, de 8-10 mm. de long, entourés par la bractée externe qui est aussi longue, plus courte, ou plus longue que l’épillet. Glumes de même forme que les bractées et ciliées sur le dos, entourant deux fleurs. Glumelles fructifères naviculiformes, glabres même sur le dos, dépassant l’ovaire. Filaments hypogynes au nombre do 6, représentant les pétales et les sépales, linéaires, rigides, scabres, subégaux, aigus. Étamines au nombre de trois, à filets plus longs que les filaments hypogynes, à anthère allongée, un peu plus courte que le filet. Ovaire de 1.5 mm. environ de long, elliptique, trigone, glabre à la base, courtement pubéruleux au sommet. Style cylindrique, environ aussi long que l'ovaire, glabre, terminé par 3 stigmates aussi longs que le style, étalés.","Morphology","0F52F798-9F62-4335-B203-F36FAD6E31ED","French","0F52F798-9F62-4335-B203-F36FAD6E31ED","Wildeman, ÉAJD. 1904. Plantae novae vel minus cognitae ex herbario horti thenensis, Vol. 1. Monnom, Bruxelles. [https://www.biodiversitylibrary.org/bibliography/115951#/summary] [All rights reserved]","https://www.biodiversitylibrary.org/bibliography/115951#/summary"
"wfo-0000527014","Cette plante a des rapports avec Ie scirpus supinus, mais ses tiges sont bien plus grêles & droites, fes épillets plus etroits. Ses racines sont composées de fibres simples, un peu tortueuses, brunes, courtes, fasciculées; elles produisent un grand nombrè de tiges droites, greles, presque filiformes, triées, presque cylindriques, réunies en gazon, longues de fix à dix pouces & plus, enveloppées à leur base par une gaîne étroite, cylinirique, longue de deux a quatre pouces, souvent terminée par une pointe subulée; les plus longues un peu renflées depuis leur milieu jufqu’à leur fommet, & légérement articulées à la base de ce renflement. Les fleurs font placées aux deux tiers des riges, réunies en un paquet d’épillets sessiles, inegaux, un peu lancéolés, quelquefois un ou deux pedonculés, composes d’écailles imbriquées, lancéolées, mucronées à leur sommet, de couleur pale, bordées de brun; elles renferment trois étamines, dont les filamens sont três-courts. L’ovaire est comprimé; le style un peu plus long que l’écaille, bifide à son sommet. Les semences font fort petites, obrondes, comprimées, de couleur brune, tranchantes à leurs bords.","Morphology","83D3E1FE-7B78-4880-84FF-D7A59BE1B113","French","83D3E1FE-7B78-4880-84FF-D7A59BE1B113","Poiret, JLM. 1804. Encyclopédie méthodique. Botanique, Vol. 6. Panckouke, Liège. [https://www.biodiversitylibrary.org/page/725521#page/3/mode/1up]","https://www.biodiversitylibrary.org/page/725521#page/3/mode/1up"
"wfo-0001065171","Arbuste souvent buissonnant, pouvant atteindre 3-4 m de hauteur, généralement glabre, sauf aux aisselles des feuilles. Feuilles plus ou moins charnues, sessiles, spatulées-obovées, grossièrement dentées vers l’extrémité, plutôt groupées vers le sommet des rameaux, longues de 6-10 cm en moyenne et larges de 3-5 cm, mais pouvant atteindre 18-20 x 7-8 cm; aisselles garnies de soies blanches tardivement caduques. Fleurs en cymes bipares régulières, 3-4 fois ramifiées, longues de 2-5 cm; lobes du calice linéaires-triangulaires, longues de 2-5 mm ou ovées; corolles jaune très pâle ou blanche, veinée de mauve pâle, longue de 2-2.5 cm, glabre à l’extérieur, densément pubescente à l’intérieur du tube; lobes longs de 4-5 mm; style faiblement pubescent à la base; ovaire infère. Fruit drupacé de 1-1.5 cm de diamètre, légèrement côtelé sur le frais, fortement sur le sec, blanc-nacré à maturité; noyau long de 6-8 mm, rugueux, contenant 2 graines. Fl., fr. toute l’annee.","Morphology","E314BEEE-8ED9-4A9E-B2A4-42CACF3ABAE7","French","E314BEEE-8ED9-4A9E-B2A4-42CACF3ABAE7","Guillaumet, JL. 1978. 188. Goodeniaceae, Fl. Madagasc. 188: 27-32. [© Publications Scientifiques du Muséum National d'Histoire naturelle, Paris] [All rights reserved]",""
"wfo-0001083864","Liane … tiges crassulentes, glabres rameaux très raccourcis. Feuilles … pétiole de 2-8 cm ce long, glabre; limbe ovale … orbiculaire profondément cordé … la base, de 3-8 cm ce long et de 3-5 cm de large, glabre. Inflorescences mâle [male symbol] en pseudoracèmes de 2-5 cm de long; bractées de 1-3.5 mm de long. Fleurs mâle [male symbol] … 6 sépales largement ovales, les extérieurs de 1-1.5 mm de long et de 0.8-1 mm de large, les intérieurs de 3-3.5 mm de long et de 2.5 mm de large; pétales 6 obovales, de 1.8-2.2 mm de long et de 1.2-1.7 mm de large; étamines 6, … filets soudés seulement … la base, de 2-2.5 mm de long; thèques des anthères … déhiscence longitudinale. Inflorescences femelle [female symbol] ± semblables aux inflorescences mâle [male symbol]. Fleurs femelle [female symbol] … sépales et pétales ± semblables … ceux des fleurs mâle [male symbol]; staminodes 6, de 2 mm de long; carpelles 3, légèrement stipités. Drupes subovo‹des, de 8-10 mm de long et de 5-7 mm de diam.; endocarpe c'telé et verruqueux. Graines … albumen ruminé.","Morphology","7C0ECC41-AB85-4EA2-AA9D-0ADD9A018C92","French","7C0ECC41-AB85-4EA2-AA9D-0ADD9A018C92","Troupin, GMDJ. 1962. Monographie des Menispermaceae africaines. Mém. Acad. Roy. Sci. Outre-Mer, Cl. Sci. Nat. et Méd. (nouv. sér. in-8°) 13(2): 1-312. [All rights reserved]",""
"wfo-0001184325","Plante en tapis intriqué, verte, vert jaune, brune ou noirâtre en profondeur, brunissant en herbier; tige de 2-6 cm, généralement rampante et couverte de tomentum brun, plus rarement dressée, irrégulièrement pennée, parfois bipennée; rameaux de 5-10 mm, presque julacés, aigus à l’extrémité, parfois atténué, rarement radicant. Feuilles caulinaires largement ovoïdes et longuement acumineés, de 1.4-2 x 0.9-1.2 mm, nerviées jusqu’à la base de l’acumen, profondement plissées à bosselées; marge plane, recourbée ou même ondulée, entière ou sinuee par la projection des parois transversales, parfois denticulée au sommet de l’acumen. Cellules des feuilles caulinaires variées; celles de l’acumen allongées, à parois épaisses, de 20-35 µ de long, plus courtes à la marge; les médianes ovales, allongées ou arrondies, à parois épaisses, plus régulièrement carrées ou arrondies vers la marge où elles ont environ 10 µ; les basales plus longues et plus larges, plus nettement poreuses; parfois entièrement lisses, parfois papilleuses. Paraphylles caulinaires très nombreuses, multiformes, ramifiées. Feuilles raméales ovales triangulaires à ovales arrondies, avec acumen plus court que celui des feuilles caulinaires, droit ou courbé; de 0.75-1.2 x 0.5-0.75 mm, profondement plissées; marge plane ou recourbée dans la partie médiane, plus rarement à la base; entières ou sinuées à la base, entières ou plus souvent dentées dans l’acumen; nervure à peine papilleuse sur le dos en haut. Cellules des feuilles raméales rarement lisses, généralement papilleuses surtout à la face inférieure, avec une grosse papille centrale. Paraphylles raméales plus courtes que les caulinaires. Gamétangescences mâles gemmiformes, de 500-600 x 400 µ, à feuilles périgoniales internes énerves, acuminées, non plissées, de 0.6 mm de long; contenant 10-15 anthéridies de 230-270 x 100 µ, et des paraphyses filiformes peu nombreuses, de 0.3-0.4 mm de long, formées de 7-9(-12) cellules. Gamétangescences femelles à feuilles externes très courtes, les internes atteignant 7-8 mm de long, nerviées, entières, très plissées; à cellules atteignant 100 x 5-10 µ, lisses, archégones nombreux, paraphyses très nombreuses, filiformes, blanches. Pédicelle de 25-35 mm, lisse, tordu surtout au sommet, rouge foncé tout à la base, rougeâtre en haut. Capsule le plus souvent dressée, plus rarement inclinée, droite ou un peu arquée, parfois courbée, de 3-4 x 1.5 mm, brun rouille; nombreux stomates phanéropores sur le col. Anneau de 1-3 rangs de cellules. Opercule conique. Péristome externe de 400-600 µ de haut, formé de 16 dents avec lamelle dépassant latéralement à la base, jaune pâle, papilleuses; l’interne un peu plus court, formé d’une membrane dans la moitié inférieure et de 16 dents alternant avec les externes, papilleuses, pâles, ouvertes sur la carène, sans cils. Spores papilleuses à verruqueuses, vertes, souvent cloisonnées dans la capsule encore fermée, atteignant alors 40-50 ou plus. Autoïque.","Morphology","B7DBD4E7-7127-44BF-BEBB-7653EDEA5E27","French","B7DBD4E7-7127-44BF-BEBB-7653EDEA5E27","De Sloover, JLJA. 1976. Note de bryologie africaine: VI. Hylocomiopsis. Bull. Jard. Bot. Belg. 36(3/4): 379-385. [https://www.jstor.org/stable/3667718]","https://www.jstor.org/stable/3667718"
