"id","vernacularName","source","language","type","bibliographicCitation","url"
"wfo-0000709930","Gelbgrüner Rosinenstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001106826","Silber Zuckerbusch","426ADD17-439C-423B-A550-64F9EEBD9580","German","vernacular","",""
"wfo-0000170688","Tränen-Burenbohne","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001106818","Echter Zuckerbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000180608","Küsten-Korallenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001336879","Seidendorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000569494","Erbsenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001335019","Baum-Aloe","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000689147","Riesenblättrige Feige","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000681136","Feuerlöschbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000687621","Würgefeige","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000385487","Namaqua-Harzbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000382436","Lanternstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000569494","SchSferbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000681136","Gemeiner Quarrenbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000995790","Rotes Stinkholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000710340","Kreuzbeere","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000931165","Duft-Fiebernuss","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000172643","Dolfholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000374940","Kokobaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000709753","Rosinenstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000972676","Lebombo-Eisenholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001022695","Bocksdorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000949109","Stammfruchtbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000710153","Kalahari Rosinenstrua","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001106793","Haarbuschelprotea","426ADD17-439C-423B-A550-64F9EEBD9580","German","vernacular","",""
"wfo-0000180919","Gemeiner Korallenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001296387","Glanzblättrige Buschweide","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001253253","Weisshasel","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000628269","Kap-Lorbeerbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001062878","Braunes Eisenholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000681136","Bergebenholzstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001106797","Weisser Zuckerbusch","426ADD17-439C-423B-A550-64F9EEBD9580","German","vernacular","",""
"wfo-0000709929","Gelbe Rosinenstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000688766","Kletterfeige","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000628012","Wilder Lorbeerbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001290467","Buschkirsche","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000617357","Papierrinden-Balsambaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000688513","Berg-Feige","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001290464","Nonibusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000710420","Wilder Flaschenbürstenstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000569545","Karoo-SchSferbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000181142","Kirschblntenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000758349","Namaqua-Aloe","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000690174","Wonderboom-Feige","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000688513","Steiffblattfeige","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000574234","Salbeibaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000616365","Herero-Buschweide","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001284771","Knotendorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001362694","Brackdorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000369427","Seidenrindenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000620224","Schleimbeerenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000667405","Albany-Brotbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000183848","Sichelblattalbizia","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000510579","Karoodorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001130999","Rotes Elfenbeinholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000690434","Tiefland-Feige","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000430319","Wart-ein-bisschen","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001065244","Grünhasel","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000434904","Sumach","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001140847","Südwester Schneeballstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000427972","Clanwilliam-Zeder","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001296387","Kudubusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000192433","Gerbhülsenstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000617424","Feuerdorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000617211","Namaqua-Balsamstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000459403","Wilde Tamariske","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000385500","Nama-Harzbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000745798","Fahlkameldorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001029815","Nachtschade","3B8C2FF8-2658-497E-9EDB-D46E910EC57F","German","vernacular","",""
"wfo-0000116602","Wilder Kampferbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000615198","Gerbrindenbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001384772","Papierrinden-Akazie","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000779501","Dreidorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000183848","FahlplSttriger Falsch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000186811","Papierrinden-Falschdo","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000475889","Henkels Gelbholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001050107","Wilde Pflaume","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000709753","Kerblättriger Rosinenstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000476384","Flügelfruchtstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000667332","Ostkapscher Brotbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000428923","Busch-Bitterholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001106818","Zuckerprotea","426ADD17-439C-423B-A550-64F9EEBD9580","German","vernacular","",""
"wfo-0000216227","Lala-Palme","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001087121","Platanenstamm","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000616388","Ahnenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000170217","Wilder Grünhaarbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001335020","Köcherbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001106818","Echter Zucherbusch","426ADD17-439C-423B-A550-64F9EEBD9580","German","vernacular","",""
"wfo-0000664930","Safranbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000408552","Blutfruchtbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000779525","Gelber Kurzdorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001106779","Lorbeerblättriger Zuc","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001284778","Gelbdorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001106756","Konigsprotea","426ADD17-439C-423B-A550-64F9EEBD9580","German","vernacular","",""
"wfo-0000448164","Gemeiner Wachsbeerenbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000757866","Felsen-Aloe","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001384772","Nashorn-Akazie","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000357048","Weisse Seringe","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000617177","Sand-Balsambaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000211610","Rotbusch-Tee","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000710115","Silberblättriger Rosinenstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001029815","nachtshade","D7BFC948-FD4D-4B58-9759-34651AB24C1E","German","vernacular","",""
"wfo-0000561880","Wilde Berg-Banane","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000395793","Weisses Fackelholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000616927","Grossfrüchtige Buschweide","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000503535","Veilchenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001071454","Stinkholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000213217","Blaue Rinderklaue","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000687917","Namaqua-Feige","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001087314","Erosflaume","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000569494","Witgatbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000709772","Zweifarbiger Rosinens","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001050315","Plattbeerenstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000428246","Zitronenholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001141109","Stern-Kastanie","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000773775","Berg-Aloe","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000781942","Gabbabusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000561880","Wilde Transvaal-Banane","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000187086","GrossblSttriger Falsc","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000197953","Dornentau","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001336562","Bergdorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000388245","Transvaal-Gerbrindenbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000590815","Buschmannstee","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000471663","Niessholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001062869","Wilder Pfirsichbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000382832","Transvaal-Stinkholz","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000580859","Wilde Kastanie","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001106826","Silber-Zuckerbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000471143","Hülsenbeere","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000709978","Riesenrosinenstrauch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000421955","Samtblättrige Süssbeere","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000667433","Riesenbrotbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000194865","Tränenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000116602","Fahlbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001284774","Kameldorn","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000986071","Forellenbusch","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000925175","Wilder Aprikosenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000313535","Tambuti","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000778884","Wurstbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000457758","Taubenbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0001427506","Stehschoten-Akazie","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000306547","Ölfruchtbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000687971","Wald-Feige","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000570189","Wilder Mandelbaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
"wfo-0000617424","Gemeiner Balsambaum","40EF8CCE-4069-4E28-B253-87235261F4F0","German","vernacular","",""
