"id","vernacularName","source","language","type","bibliographicCitation","url"
"wfo-0001106750","green protea","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000373154","sedges","3B8C2FF8-2658-497E-9EDB-D46E910EC57F","English","vernacular","",""
"wfo-0000901635","seaside quick","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000688513","mountain rock fig","9DD93B97-DFA3-4140-84D4-E972923F2F51","English","vernacular","Burrows, JE. 2019. Moraceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(2): 1235-1238. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000848945","wire grass","B193619B-8C0A-4100-B636-43CB168B9126","English","vernacular","Fish, L; Bredenkamp, CL; Magwaza, ZL. 2019. Poaceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(3): 1958-2104. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000878503","darnel","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000607858","wild melon","D310DF26-C198-4E73-88EB-E8DD0E3A484F","English","vernacular","Welman, WG. 2013. Cucurbitaceae. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 366-368. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000510249","scrub nana-berry","D5C3B1FF-A3F8-461F-B8BA-ADC342C33214","English","vernacular","Struwig, M. 2019. Anacardiaceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(1): 278-293. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000712869","Staff tree","D7BFC948-FD4D-4B58-9759-34651AB24C1E","English","vernacular","",""
"wfo-0000851697","bearded oat","3B8C2FF8-2658-497E-9EDB-D46E910EC57F","English","vernacular","",""
"wfo-0000185378","sweet clover","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0001106578","Hawekwas Spiderhead","426ADD17-439C-423B-A550-64F9EEBD9580","English","vernacular","",""
"wfo-0000265844","poison bride's bush","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000690530","bush fig","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000962725","candelabra-tree","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0001106970","Hairless Conebush","426ADD17-439C-423B-A550-64F9EEBD9580","English","vernacular","",""
"wfo-0000797418","brittlewood","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000265844","gousiekte tree","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000216227","lala palm","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0001106830","Scabrous Sugarbush","426ADD17-439C-423B-A550-64F9EEBD9580","English","vernacular","",""
"wfo-0000464567","wild grape","3DF2596E-545F-4AE2-977D-A6A7103168BE","English","vernacular","Retief, E. 2019. Vitaceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(2): 1596-1599. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000712995","woodland spikethorn","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000982270","black-ebony","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0001145364","ropewood grape","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000903590","red oat grass","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000965159","tree euphorbia","3B8C2FF8-2658-497E-9EDB-D46E910EC57F","English","vernacular","",""
"wfo-0001256456","wild-mulberry","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0001421011","Hanekom's cat nails","36ECE1E5-98AE-4A16-B909-EA20EE785386","English","vernacular","Wolfe, AD. 2018. Hyobanche hanekomii (Orobanchaceae), a new species from the Western Cape of South Africa. . Phytotaxa 340(1): 93-97. [http://dx.doi.org/10.11646/phytotaxa.340.1.8] [All rights reserved]","http://dx.doi.org/10.11646/phytotaxa.340.1.8"
"wfo-0001421247","Cape parsleytree","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000336101","zygoon","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000758416","Luanda tree aloe","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000616428","The red sinkwood","D7BFC948-FD4D-4B58-9759-34651AB24C1E","English","vernacular","",""
"wfo-0000275761","Port St John's spurflow","BAF2883F-445D-453C-8545-F572D95DD0B3","English","vernacular","Bredenkamp, CL; Ngoepe, N. 2019. Lamiaceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(2): 1125-1164. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000690530","Cape wild fig","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","English","vernacular","",""
"wfo-0000679826","African cocaine tree","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","English","vernacular","",""
"wfo-0000776677","rush","6135FDB4-43C5-44C3-A875-C3A4B5F1F834","English","vernacular","Manning, JC; Goldblatt, P. 2012. Juncaceae. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 176-176. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0001132962","knobwood","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000039126","Cape silver-oak","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000172325","African ebony","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","English","vernacular","",""
"wfo-0000023003","stagger's bush","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000471143","Jacket plum","45841A00-D98F-4B77-AACF-6E577F2C8F4E","English","vernacular","",""
"wfo-0001421511","rub-rub berry","3B8C2FF8-2658-497E-9EDB-D46E910EC57F","English","vernacular","",""
"wfo-0001107406","Cretan brake","61C4D132-3A52-4688-B3FD-A3660F307232","English","vernacular","Roux, JP. 2019. Pteridophyta. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(1): 96-157. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000741316","smooth-twigged sourplum","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000878425","Italian rye grass","D016F3A3-D10F-4205-B47D-4C1C455DC210","English","vernacular","Manning, JC; Goldblatt, P; Linder, HP. 2012. Poaceae: Lolium L. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 214-214. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000597243","queen of the night","E0B7C982-B37D-4C9A-B9B1-EFD039E10CBB","English","vernacular","Walters, M; Figueiredo, E; Crouch, NR; Winter, PJD; Smith, GF; Zimmermann, HG; Mashope, BK. 2011. Naturalised and invasive succulents of southern Africa. ABC Taxa 11: 1-370. [All rights reserved]",""
"wfo-0000865337","Kalahari water grass","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000525446","vogel alectra","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000186724","Japanese pagoda tree","B862CAEE-AFBB-48D0-B425-865750A90E62","English","vernacular","",""
"wfo-0000300715","Texas sage","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0001029815","woody nightshade","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0001021374","dotter","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000574420","sheepweed","C90AE0B3-32B6-4A48-B9B7-8AA4AE0FA2DC","English","vernacular","Retief, E; Buys, MH. 2012. Boraginaceae: Buglossoides Moench. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 433-433. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000776350","Flutterrush","D7BFC948-FD4D-4B58-9759-34651AB24C1E","English","vernacular","",""
"wfo-0001106925","Silver Pine Tree","426ADD17-439C-423B-A550-64F9EEBD9580","English","vernacular","",""
"wfo-0001109620","mosquito fern","A50E82C6-BFE6-4549-9CFA-FB0376EA9287","English","vernacular","Roux, JP. 2013. Monilophytes. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 26-30. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000628012","wild-quince","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0001296387","Sabi willow","3B8C2FF8-2658-497E-9EDB-D46E910EC57F","English","vernacular","",""
"wfo-0000961480","lesser candelabra-tree","40EF8CCE-4069-4E28-B253-87235261F4F0","English","vernacular","",""
"wfo-0000210668","Wild lucerne","41900D09-247B-4DE8-97A5-2051DFD81764","English","vernacular","",""
"wfo-0000864460","black seed finger grass","E71E4ADF-88CC-4460-9649-9658EA45B711","English","vernacular","Fish, L; Moeaha, MJ. 2015. Digitaria Haller. In: L Fish, AC Mashau, MJ Moeaha & MT Nembudani (eds), Identification guide to the southern Africa grasses. An identification manual with keys, descriptions and distributions, Strelitzia 36: 208-231. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000946828","skyflower","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000733806","wild pumpkin","1063AEEA-DC09-4200-92A2-FCBF3FB3CE5A","English","vernacular","Bredenkamp, CL. 2019. Malvaceae s.l. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(2): 1181-1216. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000447924","African mulberry","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","English","vernacular","",""
"wfo-0000510579","gum-arabic tree","3B8C2FF8-2658-497E-9EDB-D46E910EC57F","English","vernacular","",""
"wfo-0000867617","african love grass","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000864353","wild millet","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0001143525","river nettle","848FC8B1-D309-4E7F-A357-4CCA2E55C6ED","English","vernacular","Madlokazi, N; Bredenkamp, CL. 2019. Urticaceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(2): 1581-1586. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000447853","wild clove bush","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","English","vernacular","",""
"wfo-0000900376","Columbus grass","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","English","vernacular","",""
"wfo-0000538477","fever tree","3B8C2FF8-2658-497E-9EDB-D46E910EC57F","English","vernacular","",""
"wfo-0000375701","blue-leaved spider bush","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","English","vernacular","",""
"wfo-0001425596","Cancer bush","3B8C2FF8-2658-497E-9EDB-D46E910EC57F","English","vernacular","",""
"wfo-0000172325","African blackwood","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","English","vernacular","",""
"wfo-0001069751","Speckled spur-flower","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","English","vernacular","",""
