"id","vernacularName","source","language","type","bibliographicCitation","url"
"wfo-0001336999","phoa","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000369431","sefea-maeba-se-senyen","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000574127","lelora","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000111237","lehlomanyane","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0001336674","maqala (bundle of shoots)","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000564552","lekxapi","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000631590","sesilatsane","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000712869","sefea-moeba","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000762284","khomo-ya-ntsuka","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000761937","motlatsisa","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000510241","mosilabelo","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000761937","kxutsana-ya-naha","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0001284778","mhlosinga","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0001383246","leroane","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000593393","mohatla-khomo","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0001383245","kolitšane","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000705841","moema-thata","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000221229","mangwakwane","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000648531","ntlo-ea-lekhoaba","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000240328","kwena-ya-lidiba","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000681073","thele-likokoto","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0001032779","bophefa","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000313535","morekure","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000062767","tseba-pelo","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000448164","maloleha","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0001346548","mofolotsane","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000686580","beokho","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000510236","tÜilabela","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000460040","mofifi-matÜo","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000016644","naka","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000194724","mohlonecha","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000970985","marapa","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0001136610","seona","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000986071","mosine","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000434904","mosinabele","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000037543","lehlohlo","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000448784","semapo","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0001383246","leroana","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000510236","tÜilabele","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0001032779","mosala-marupi","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000487907","moohluoa","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000460040","modutu","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000373154","mothoto","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000266838","ngelile","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0001078556","molo-wa-phofu","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000510241","mosilabele","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000427579","sebaha","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000564552","qaqawe","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000266838","setimo-mollo","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0000734854","seboka","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Southern Sotho","vernacular","",""
"wfo-0001106846","sekila","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000919532","senokonoko","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000448784","morara-pheleu","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0001383245","kolitšane-ea-noka","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000510579","leoka","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
"wfo-0000796759","meqoane","40EF8CCE-4069-4E28-B253-87235261F4F0","Southern Sotho","vernacular","",""
