"id","vernacularName","source","language","type","bibliographicCitation","url"
"wfo-0000778884","mpfunguru","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000797445","mswingiri","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000172643","murotso","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000171442","xivuvule","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000183848","Mmolela","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","Tsonga","vernacular","",""
"wfo-0001134276","ntungulu","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0001290484","compfa","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000313535","ndzopfori","1E161AAE-1625-4BFE-A834-A406E1F80DD8","Tsonga","vernacular","",""
"wfo-0000408552","chachandau","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000712869","libatzondze","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000375701","chicolue","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000187086","muvhambangoma","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000687971","xirhomberhome","258B417C-CA55-4002-81F7-58F6AE3E92E9","Tsonga","vernacular","Burrows, JE; Burrows, SM. 2003. Figs of southern and south-central Africa. Umdaus Press, Pretoria. [All rights reserved]",""
"wfo-0000212048","nkohlwana","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000549738","ntita","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Tsonga","vernacular","",""
"wfo-0000616553","chifata","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000895401","mbhovu","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000709808","ndzuwa","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000712869","chichangua","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000663623","nyamarhi","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000212102","nhlarhu","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000166850","ensiba","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0001141109","nsolodza","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000931663","xunguxungu","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000569494","xukutsi","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000690434","xirhomberhombe","258B417C-CA55-4002-81F7-58F6AE3E92E9","Tsonga","vernacular","Burrows, JE; Burrows, SM. 2003. Figs of southern and south-central Africa. Umdaus Press, Pretoria. [All rights reserved]",""
"wfo-0000504062","maguento","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000471143","guvaswivi","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000690530","xinkuwana","258B417C-CA55-4002-81F7-58F6AE3E92E9","Tsonga","vernacular","Burrows, JE; Burrows, SM. 2003. Figs of southern and south-central Africa. Umdaus Press, Pretoria. [All rights reserved]",""
"wfo-0000269796","nchindu-lisundu","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000317294","ntsulu","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0001284778","nkelenge","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000194865","ndzedze","1E161AAE-1625-4BFE-A834-A406E1F80DD8","Tsonga","vernacular","",""
"wfo-0000172814","nxelela","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000687193","nkuwamaribye","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0000710104","nsihana","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0001132964","manunguame","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
"wfo-0001073498","cugunutamunti","40EF8CCE-4069-4E28-B253-87235261F4F0","Tsonga","vernacular","",""
