"id","vernacularName","source","language","type","bibliographicCitation","url"
"wfo-0000931165","umahlabekufeni","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000688813","umgonswane","40EF8CCE-4069-4E28-B253-87235261F4F0","Zulu","vernacular","",""
"wfo-0000427579","isibhaha","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000111237","izonkozonko","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Zulu","vernacular","",""
"wfo-0000450076","i Bonya","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000455614","umMandlozane","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0001298754","ihlambe","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Zulu","vernacular","",""
"wfo-0000932507","uminya","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000949109","umthongwane","40EF8CCE-4069-4E28-B253-87235261F4F0","Zulu","vernacular","",""
"wfo-0000710420","umbande","40EF8CCE-4069-4E28-B253-87235261F4F0","Zulu","vernacular","",""
"wfo-0000193395","umhlonishwa","40EF8CCE-4069-4E28-B253-87235261F4F0","Zulu","vernacular","",""
"wfo-0001064743","isikhwalisamatshe","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Zulu","vernacular","",""
"wfo-0000455439","uMathunzi","18C10AA4-C45B-4031-93DF-1A85832BC1FE","Zulu","vernacular","",""
"wfo-0001297807","uBhoqo","18C10AA4-C45B-4031-93DF-1A85832BC1FE","Zulu","vernacular","",""
"wfo-0000116602","isiduli-sehlathi","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0001141845","ihlula","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Zulu","vernacular","",""
"wfo-0001100350","i(li)Thethe","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000170688","uVovovo","95EA4241-9A0A-473D-9F9D-32EEEFA2D2B1","Zulu","vernacular","",""
"wfo-0000564499","uNdiyandiya","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000374940","iDohame","95EA4241-9A0A-473D-9F9D-32EEEFA2D2B1","Zulu","vernacular","",""
"wfo-0001029815","isihalakuhle","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000675823","icacane","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Zulu","vernacular","",""
"wfo-0000421441","umhlahle","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000757866","umhlabana","40EF8CCE-4069-4E28-B253-87235261F4F0","Zulu","vernacular","",""
"wfo-0001065914","umazwenda omhlophe","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Zulu","vernacular","",""
"wfo-0000680055","ummbamatsheni","40EF8CCE-4069-4E28-B253-87235261F4F0","Zulu","vernacular","",""
"wfo-0000799101","isicococo","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Zulu","vernacular","",""
"wfo-0000737730","imPompo","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000117460","ihlambihloshane","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0001335019","indlabendlazi","35C87BD2-78C1-498F-899E-0BE0B6C557B7","Zulu","vernacular","Glen, HF; Hardy, DS. 2000. Aloe. In: G Germishuizen & E du Plessis (eds), Aloaceae (first part), Fl. S. Africa 5(1,1): 1-167. National Botanical Institute, Pretoria. [http://www.biodiversitylibrary.org/item/209564#page/3/mode/1up] [CC BY]","http://www.biodiversitylibrary.org/item/209564#page/3/mode/1up"
"wfo-0000686018","isiQalaba","95EA4241-9A0A-473D-9F9D-32EEEFA2D2B1","Zulu","vernacular","",""
"wfo-0001076524","uMabophe","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0001078556","ipupuma","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000790843","udwendweni","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Zulu","vernacular","",""
"wfo-0000404193","inKubulwana","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000471143","umgqoggo","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000897047","umembesa","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Zulu","vernacular","",""
"wfo-0000196032","umHladlothi","18C10AA4-C45B-4031-93DF-1A85832BC1FE","Zulu","vernacular","",""
"wfo-0000769245","Hlamvu comfananentombhazana","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Zulu","vernacular","",""
"wfo-0000469856","umsimbishana","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Zulu","vernacular","",""
