wfo_id,locality,tdwg_level3,wcvp_geo_note,ipni_id,powo_id,wcvp_family,wcvp_genus,wcvp_taxon_name
wfo-0000692907,"Costa Rica",COS,"S. Mexico to C. America",612651-1,612651-1,Onagraceae,Fuchsia,"Fuchsia splendens"
wfo-0000692791,"Costa Rica",COS,"C. & S. Chile to S. Argentina",612572-1,612572-1,Onagraceae,Fuchsia,"Fuchsia magellanica"
wfo-0000693629,"Costa Rica",COS,"C. & S. Trop. America",548708-1,548708-1,Loranthaceae,Gaiadendron,"Gaiadendron punctatum"
wfo-0000692387,"Costa Rica",COS,"Nicaragua to Costa Rica",830251-1,830251-1,Pentaphylacaceae,Freziera,"Freziera friedrichsthaliana"
wfo-0000692371,"Costa Rica",COS,"Costa Rica, Guadeloupe, Dominica, Martinique",828823-1,828823-1,Pentaphylacaceae,Freziera,"Freziera cordata"
wfo-0000692363,"Costa Rica",COS,"WC. Costa Rica, Colombia to Venezuela and Peru",828818-1,828818-1,Pentaphylacaceae,Freziera,"Freziera calophylla"
wfo-4000015238,"Costa Rica",COS,"C. & S. Trop. America",30023921-2,30023921-2,Rutaceae,Galipea,Galipea
wfo-4000015172,"Costa Rica",COS,"C. & S. Trop. America",25218-1,25218-1,Loranthaceae,Gaiadendron,Gaiadendron
wfo-0000692814,"Costa Rica",COS,"Costa Rica to N. Panama",106237-2,106237-2,Onagraceae,Fuchsia,"Fuchsia microphylla subsp. hemsleyana"
wfo-0000693873,"Costa Rica",COS,"SE. Nicaragua to Costa Rica",302008-2,302008-2,Rutaceae,Galipea,"Galipea dasysperma"
wfo-4000015114,"Costa Rica",COS,"Europe to C. Asia, Macaronesia to India, Eritrea to Malawi, SW. Arabian Pen.",30017595-2,30017595-2,Papaveraceae,Fumaria,Fumaria
wfo-0000165402,"Costa Rica",COS,"Mexico to C. America",106549-2,106549-2,Fabaceae,Galactia,"Galactia argentea"
wfo-0000693355,"Costa Rica",COS,"Europe to Medit. and Caucasus",30017594-2,30017594-2,Papaveraceae,Fumaria,"Fumaria officinalis"
wfo-0000691940,"Costa Rica",COS,"S. Cuba, Jamaica, S. Mexico, Costa Rica to NW. Argentina",980492-1,980492-1,Rhamnaceae,Frangula,"Frangula sphaerosperma"
