title,description
"Northern Europe","TDWG Code: 10"
"Middle Europe","TDWG Code: 11"
"Southwestern Europe","TDWG Code: 12"
"Southeastern Europe","TDWG Code: 13"
"Eastern Europe","TDWG Code: 14"
"Northern Africa","TDWG Code: 20"
Macaronesia,"TDWG Code: 21"
"West Tropical Africa","TDWG Code: 22"
"West-Central Tropical Africa","TDWG Code: 23"
"Northeast Tropical Africa","TDWG Code: 24"
"East Tropical Africa","TDWG Code: 25"
"South Tropical Africa","TDWG Code: 26"
"Southern Africa","TDWG Code: 27"
"Middle Atlantic Ocean","TDWG Code: 28"
"Western Indian Ocean","TDWG Code: 29"
Siberia,"TDWG Code: 30"
"Russian Far East","TDWG Code: 31"
"Middle Asia","TDWG Code: 32"
Caucasus,"TDWG Code: 33"
"Western Asia","TDWG Code: 34"
"Arabian Peninsula","TDWG Code: 35"
China,"TDWG Code: 36"
Mongolia,"TDWG Code: 37"
"Eastern Asia","TDWG Code: 38"
"Indian Subcontinent","TDWG Code: 40"
Indo-China,"TDWG Code: 41"
Malesia,"TDWG Code: 42"
Papuasia,"TDWG Code: 43"
Australia,"TDWG Code: 50"
"New Zealand","TDWG Code: 51"
"Southwestern Pacific","TDWG Code: 60"
"South-Central Pacific","TDWG Code: 61"
"Northwestern Pacific","TDWG Code: 62"
"North-Central Pacific","TDWG Code: 63"
"Subarctic America","TDWG Code: 70"
"Western Canada","TDWG Code: 71"
"Eastern Canada","TDWG Code: 72"
"Northwestern U.S.A.","TDWG Code: 73"
"North-Central U.S.A.","TDWG Code: 74"
"Northeastern U.S.A.","TDWG Code: 75"
"Southwestern U.S.A.","TDWG Code: 76"
"South-Central U.S.A.","TDWG Code: 77"
"Southeastern U.S.A.","TDWG Code: 78"
Mexico,"TDWG Code: 79"
"Central America","TDWG Code: 80"
Caribbean,"TDWG Code: 81"
"Northern South America","TDWG Code: 82"
"Western South America","TDWG Code: 83"
Brazil,"TDWG Code: 84"
"Southern South America","TDWG Code: 85"
"Subantarctic Islands","TDWG Code: 90"
"Antarctic Continent","TDWG Code: 91"
