level3_cod,level3_nam,level2_nam,level1_nam
SWE,Sweden,"Northern Europe",EUROPE
SVA,Svalbard,"Northern Europe",EUROPE
NOR,Norway,"Northern Europe",EUROPE
IRE,Ireland,"Northern Europe",EUROPE
ICE,Iceland,"Northern Europe",EUROPE
GRB,"Great Britain","Northern Europe",EUROPE
FOR,F,"Northern Europe",EUROPE
FIN,Finland,"Northern Europe",EUROPE
DEN,Denmark,"Northern Europe",EUROPE
SWI,Switzerland,"Middle Europe",EUROPE
POL,Poland,"Middle Europe",EUROPE
NET,Netherlands,"Middle Europe",EUROPE
HUN,Hungary,"Middle Europe",EUROPE
GER,Germany,"Middle Europe",EUROPE
CZE,Czechoslovakia,"Middle Europe",EUROPE
BGM,Belgium,"Middle Europe",EUROPE
AUT,Austria,"Middle Europe",EUROPE
SPA,Spain,"Southwestern Europe",EUROPE
SAR,Sardegna,"Southwestern Europe",EUROPE
POR,Portugal,"Southwestern Europe",EUROPE
FRA,France,"Southwestern Europe",EUROPE
COR,Corse,"Southwestern Europe",EUROPE
BAL,Baleares,"Southwestern Europe",EUROPE
YUG,Yugoslavia,"Southeastern Europe",EUROPE
TUE,Turkey-in-Europe,"Southeastern Europe",EUROPE
SIC,Sicilia,"Southeastern Europe",EUROPE
ROM,Romania,"Southeastern Europe",EUROPE
KRI,Kriti,"Southeastern Europe",EUROPE
ITA,Italy,"Southeastern Europe",EUROPE
GRC,Greece,"Southeastern Europe",EUROPE
BUL,Bulgaria,"Southeastern Europe",EUROPE
ALB,Albania,"Southeastern Europe",EUROPE
UKR,Ukraine,"Eastern Europe",EUROPE
RUW,"Northwest European Russia","Eastern Europe",EUROPE
RUS,"South European Russia","Eastern Europe",EUROPE
RUN,"North European Russia","Eastern Europe",EUROPE
RUE,"East European Russia","Eastern Europe",EUROPE
RUC,"Central European Russia","Eastern Europe",EUROPE
KRY,Krym,"Eastern Europe",EUROPE
BLT,"Baltic States","Eastern Europe",EUROPE
BLR,Belarus,"Eastern Europe",EUROPE
WSA,"Western Sahara","Northern Africa",AFRICA
TUN,Tunisia,"Northern Africa",AFRICA
MOR,Morocco,"Northern Africa",AFRICA
LBY,Libya,"Northern Africa",AFRICA
EGY,Egypt,"Northern Africa",AFRICA
ALG,Algeria,"Northern Africa",AFRICA
SEL,Selvagens,Macaronesia,AFRICA
MDR,Madeira,Macaronesia,AFRICA
CVI,"Cape Verde",Macaronesia,AFRICA
CNY,"Canary Is.",Macaronesia,AFRICA
AZO,Azores,Macaronesia,AFRICA
TOG,Togo,"West Tropical Africa",AFRICA
SIE,"Sierra Leone","West Tropical Africa",AFRICA
SEN,Senegal,"West Tropical Africa",AFRICA
NGR,Niger,"West Tropical Africa",AFRICA
NGA,Nigeria,"West Tropical Africa",AFRICA
MTN,Mauritania,"West Tropical Africa",AFRICA
MLI,Mali,"West Tropical Africa",AFRICA
LBR,Liberia,"West Tropical Africa",AFRICA
IVO,"Ivory Coast","West Tropical Africa",AFRICA
GUI,Guinea,"West Tropical Africa",AFRICA
GNB,Guinea-Bissau,"West Tropical Africa",AFRICA
GHA,Ghana,"West Tropical Africa",AFRICA
GAM,"Gambia, The","West Tropical Africa",AFRICA
BKN,Burkina,"West Tropical Africa",AFRICA
BEN,Benin,"West Tropical Africa",AFRICA
ZAI,Zaire,"West-Central Tropical Africa",AFRICA
RWA,Rwanda,"West-Central Tropical Africa",AFRICA
GGI,"Gulf of Guinea Is.","West-Central Tropical Africa",AFRICA
GAB,Gabon,"West-Central Tropical Africa",AFRICA
EQG,"Equatorial Guinea","West-Central Tropical Africa",AFRICA
CON,Congo,"West-Central Tropical Africa",AFRICA
CMN,Cameroon,"West-Central Tropical Africa",AFRICA
CAF,"Central African Republic","West-Central Tropical Africa",AFRICA
CAB,Cabinda,"West-Central Tropical Africa",AFRICA
BUR,Burundi,"West-Central Tropical Africa",AFRICA
SUD,Sudan,"Northeast Tropical Africa",AFRICA
SOM,Somalia,"Northeast Tropical Africa",AFRICA
SOC,Socotra,"Northeast Tropical Africa",AFRICA
ETH,Ethiopia,"Northeast Tropical Africa",AFRICA
ERI,Eritrea,"Northeast Tropical Africa",AFRICA
DJI,Djibouti,"Northeast Tropical Africa",AFRICA
CHA,Chad,"Northeast Tropical Africa",AFRICA
UGA,Uganda,"East Tropical Africa",AFRICA
TAN,Tanzania,"East Tropical Africa",AFRICA
KEN,Kenya,"East Tropical Africa",AFRICA
ZIM,Zimbabwe,"South Tropical Africa",AFRICA
ZAM,Zambia,"South Tropical Africa",AFRICA
MOZ,Mozambique,"South Tropical Africa",AFRICA
MLW,Malawi,"South Tropical Africa",AFRICA
ANG,Angola,"South Tropical Africa",AFRICA
TVL,"Northern Provinces","Southern Africa",AFRICA
SWZ,Swaziland,"Southern Africa",AFRICA
OFS,"Free State","Southern Africa",AFRICA
NAT,KwaZulu-Natal,"Southern Africa",AFRICA
NAM,Namibia,"Southern Africa",AFRICA
LES,Lesotho,"Southern Africa",AFRICA
CPV,"Caprivi Strip","Southern Africa",AFRICA
CPP,"Cape Provinces","Southern Africa",AFRICA
BOT,Botswana,"Southern Africa",AFRICA
STH,St.Helena,"Middle Atlantic Ocean",AFRICA
ASC,Ascension,"Middle Atlantic Ocean",AFRICA
SEY,Seychelles,"Western Indian Ocean",AFRICA
ROD,Rodrigues,"Western Indian Ocean",AFRICA
REU,R,"Western Indian Ocean",AFRICA
MDG,Madagascar,"Western Indian Ocean",AFRICA
MCI,"Mozambique Channel Is.","Western Indian Ocean",AFRICA
MAU,Mauritius,"Western Indian Ocean",AFRICA
COM,Comoros,"Western Indian Ocean",AFRICA
CGS,"Chagos Archipelago","Western Indian Ocean",AFRICA
ALD,Aldabra,"Western Indian Ocean",AFRICA
YAK,Yakutskiya,Siberia,ASIA-TEMPERATE
WSB,"West Siberia",Siberia,ASIA-TEMPERATE
TVA,Tuva,Siberia,ASIA-TEMPERATE
KRA,Krasnoyarsk,Siberia,ASIA-TEMPERATE
IRK,Irkutsk,Siberia,ASIA-TEMPERATE
CTA,Chita,Siberia,ASIA-TEMPERATE
BRY,Buryatiya,Siberia,ASIA-TEMPERATE
ALT,Altay,Siberia,ASIA-TEMPERATE
SAK,Sakhalin,"Russian Far East",ASIA-TEMPERATE
PRM,Primorye,"Russian Far East",ASIA-TEMPERATE
MAG,Magadan,"Russian Far East",ASIA-TEMPERATE
KUR,"Kuril Is.","Russian Far East",ASIA-TEMPERATE
KHA,Khabarovsk,"Russian Far East",ASIA-TEMPERATE
KAM,Kamchatka,"Russian Far East",ASIA-TEMPERATE
AMU,Amur,"Russian Far East",ASIA-TEMPERATE
UZB,Uzbekistan,"Middle Asia",ASIA-TEMPERATE
TZK,Tadzhikistan,"Middle Asia",ASIA-TEMPERATE
TKM,Turkmenistan,"Middle Asia",ASIA-TEMPERATE
KGZ,Kirgizistan,"Middle Asia",ASIA-TEMPERATE
KAZ,Kazakhstan,"Middle Asia",ASIA-TEMPERATE
TCS,Transcaucasus,Caucasus,ASIA-TEMPERATE
NCS,"North Caucasus",Caucasus,ASIA-TEMPERATE
TUR,Turkey,"Western Asia",ASIA-TEMPERATE
SIN,Sinai,"Western Asia",ASIA-TEMPERATE
PAL,Palestine,"Western Asia",ASIA-TEMPERATE
LBS,Lebanon-Syria,"Western Asia",ASIA-TEMPERATE
IRQ,Iraq,"Western Asia",ASIA-TEMPERATE
IRN,Iran,"Western Asia",ASIA-TEMPERATE
EAI,"East Aegean Is.","Western Asia",ASIA-TEMPERATE
CYP,Cyprus,"Western Asia",ASIA-TEMPERATE
AFG,Afghanistan,"Western Asia",ASIA-TEMPERATE
YEM,Yemen,"Arabian Peninsula",ASIA-TEMPERATE
SAU,"Saudi Arabia","Arabian Peninsula",ASIA-TEMPERATE
OMA,Oman,"Arabian Peninsula",ASIA-TEMPERATE
KUW,Kuwait,"Arabian Peninsula",ASIA-TEMPERATE
GST,"Gulf States","Arabian Peninsula",ASIA-TEMPERATE
