title,description
Alberta,"TDWG Code: ABT-OO"
Afghanistan,"TDWG Code: AFG-OO"
"Buenos Aires","TDWG Code: AGE-BA"
Chaco,"TDWG Code: AGE-CH"
Corrientes,"TDWG Code: AGE-CN"
"Argentina Distrito Federal","TDWG Code: AGE-DF"
"Entre R","TDWG Code: AGE-ER"
Formosa,"TDWG Code: AGE-FO"
"La Pampa","TDWG Code: AGE-LP"
Misiones,"TDWG Code: AGE-MI"
"Santa F","TDWG Code: AGE-SF"
Chubut,"TDWG Code: AGS-CB"
Neuqu,"TDWG Code: AGS-NE"
"Rio Negro","TDWG Code: AGS-RN"
"Santa Cruz","TDWG Code: AGS-SC"
"Tierra del Fuego (Argentina)","TDWG Code: AGS-TF"
Catamarca,"TDWG Code: AGW-CA"
Jujuy,"TDWG Code: AGW-JU"
"La Rioja","TDWG Code: AGW-LR"
Mendoza,"TDWG Code: AGW-ME"
Salta,"TDWG Code: AGW-SA"
"Santiago del Estero","TDWG Code: AGW-SE"
"San Juan","TDWG Code: AGW-SJ"
"San Luis","TDWG Code: AGW-SL"
Tucum,"TDWG Code: AGW-TU"
Alabama,"TDWG Code: ALA-OO"
Albania,"TDWG Code: ALB-OO"
Aldabra,"TDWG Code: ALD-OO"
Algeria,"TDWG Code: ALG-OO"
Altay,"TDWG Code: ALT-OO"
"Aleutian Is.","TDWG Code: ALU-OO"
Amur,"TDWG Code: AMU-OO"
"Andaman Is.","TDWG Code: AND-AN"
"Coco Is.","TDWG Code: AND-CO"
Angola,"TDWG Code: ANG-OO"
Antarctica,"TDWG Code: ANT-OO"
Arizona,"TDWG Code: ARI-OO"
Arkansas,"TDWG Code: ARK-OO"
Aruba,"TDWG Code: ARU-OO"
Ascension,"TDWG Code: ASC-OO"
Alaska,"TDWG Code: ASK-OO"
"Amsterdam-St.Paul Is.","TDWG Code: ASP-OO"
Assam,"TDWG Code: ASS-AS"
Manipur,"TDWG Code: ASS-MA"
Meghalaya,"TDWG Code: ASS-ME"
Mizoram,"TDWG Code: ASS-MI"
Nagaland,"TDWG Code: ASS-NA"
Tripura,"TDWG Code: ASS-TR"
"Antipodean Is.","TDWG Code: ATP-OO"
Austria,"TDWG Code: AUT-AU"
Liechtenstein,"TDWG Code: AUT-LI"
Azores,"TDWG Code: AZO-OO"
Bahamas,"TDWG Code: BAH-OO"
Baleares,"TDWG Code: BAL-OO"
Bangladesh,"TDWG Code: BAN-OO"
